QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
1,11:39.0,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by B. Caboclo),,2,0
1,11:19.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,2,0
1,11:17.0,Defensive rebound by J. Valančiūnas,,2,0
1,11:04.0,Turnover by J. Holiday (bad pass; steal by D. Powell),,2,0
1,11:00.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by D. Powell),2,3
1,10:44.0,A. Bradley misses 2-pt jump shot from 8 ft,,2,3
1,10:41.0,,Defensive rebound by D. Nowitzki,2,3
1,10:35.0,,L. Dončić misses 3-pt jump shot from 23 ft,2,3
1,10:32.0,Defensive rebound by M. Conley,,2,3
1,10:26.0,M. Conley misses 2-pt jump shot from 11 ft,,2,3
1,10:24.0,,Defensive rebound by L. Dončić,2,3
1,10:18.0,,Turnover by L. Dončić (bad pass; steal by J. Holiday),2,3
1,10:16.0,Personal foul by T. Hardaway (drawn by J. Holiday),,2,3
1,10:10.0,B. Caboclo makes 2-pt layup from 2 ft (assist by J. Valančiūnas),,4,3
1,9:55.0,,Shooting foul by A. Bradley (drawn by L. Dončić),4,3
1,9:55.0,,L. Dončić misses free throw 1 of 2,4,3
1,9:55.0,,Offensive rebound by Team,4,3
1,9:55.0,,L. Dončić misses free throw 2 of 2,4,3
1,9:53.0,Defensive rebound by J. Valančiūnas,,4,3
1,9:35.0,M. Conley misses 3-pt jump shot from 24 ft,,4,3
1,9:32.0,,Defensive rebound by D. Nowitzki,4,3
1,9:20.0,,L. Dončić misses 3-pt jump shot from 27 ft,4,3
1,9:17.0,,Offensive rebound by D. Nowitzki,4,3
1,9:15.0,,D. Nowitzki makes 2-pt layup from 4 ft,4,5
1,9:00.0,Turnover by J. Holiday (lost ball; steal by D. Powell),,4,5
1,9:00.0,C. Miles enters the game for J. Holiday,,4,5
1,8:46.0,,T. Hardaway misses 2-pt hook shot from 9 ft,4,5
1,8:44.0,Defensive rebound by J. Valančiūnas,,4,5
1,8:37.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,7,5
1,8:19.0,,D. Powell makes 2-pt layup from 1 ft,7,7
1,8:05.0,B. Caboclo misses 3-pt jump shot from 25 ft,,7,7
1,8:01.0,,Defensive rebound by D. Powell,7,7
1,7:51.0,,Personal foul by C. Miles (drawn by J. Brunson),7,7
1,7:43.0,,L. Dončić makes 2-pt layup from 2 ft (assist by D. Powell),7,9
1,7:35.0,A. Bradley makes 2-pt jump shot from 11 ft,,9,9
1,7:15.0,,Shooting foul by B. Caboclo (drawn by D. Nowitzki),9,9
1,7:15.0,,D. Nowitzki makes free throw 1 of 2,9,10
