QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
1,11:44.0,D. Green misses 3-pt jump shot from 26 ft,,0,0
1,11:42.0,,Defensive rebound by D. Jordan,0,0
1,11:32.0,,Turnover by L. Dončić (bad pass; steal by K. Looney),0,0
1,11:22.0,K. Durant makes 2-pt jump shot from 9 ft,,2,0
1,11:06.0,,M. Kleber misses 2-pt jump shot from 7 ft,2,0
1,11:04.0,Defensive rebound by K. Looney,,2,0
1,11:02.0,Turnover by D. Green (traveling),,2,0
1,10:52.0,,L. Dončić misses 2-pt jump shot from 8 ft,2,0
1,10:50.0,Defensive rebound by K. Looney,,2,0
1,10:35.0,S. Curry makes 2-pt layup from 1 ft,,4,0
1,10:16.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Jordan),4,3
1,9:59.0,K. Thompson misses 3-pt jump shot from 24 ft,,4,3
1,9:57.0,,Defensive rebound by D. Jordan,4,3
1,9:43.0,,M. Kleber misses 3-pt jump shot from 26 ft (block by K. Durant),4,3
1,9:41.0,Defensive rebound by K. Durant,,4,3
1,9:40.0,K. Durant makes 2-pt dunk at rim,,6,3
1,9:23.0,,L. Dončić misses 2-pt jump shot from 8 ft,6,3
1,9:22.0,Defensive rebound by K. Looney,,6,3
1,9:16.0,K. Durant makes 2-pt jump shot from 14 ft (assist by D. Green),,8,3
1,9:15.0,,Dallas full timeout,8,3
1,9:05.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,3
1,9:02.0,Defensive rebound by K. Durant,,8,3
1,8:56.0,K. Thompson misses 3-pt jump shot from 27 ft,,8,3
1,8:53.0,,Defensive rebound by H. Barnes,8,3
1,8:38.0,,W. Matthews makes 2-pt jump shot from 11 ft,8,5
1,8:21.0,K. Durant misses 2-pt jump shot from 17 ft,,8,5
1,8:18.0,,Defensive rebound by L. Dončić,8,5
1,8:05.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),8,7
1,7:52.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,11,7
1,7:31.0,,H. Barnes misses 2-pt jump shot from 6 ft,11,7
1,7:29.0,Defensive rebound by D. Green,,11,7
1,7:22.0,S. Curry misses 2-pt jump shot from 21 ft,,11,7
1,7:19.0,,Defensive rebound by M. Kleber,11,7
1,7:15.0,,L. Dončić misses 2-pt layup from 1 ft,11,7
1,7:13.0,Defensive rebound by K. Durant,,11,7
1,7:09.0,K. Thompson misses 2-pt layup from 1 ft,,11,7
1,7:06.0,Offensive rebound by S. Curry,,11,7
1,7:06.0,S. Curry misses 2-pt layup at rim,,11,7
1,7:05.0,,Defensive rebound by H. Barnes,11,7
1,7:01.0,,L. Dončić makes 3-pt jump shot from 22 ft (assist by W. Matthews),11,10
1,6:37.0,S. Curry makes 3-pt jump shot from 22 ft (assist by D. Green),,14,10
1,6:18.0,,Turnover by L. Dončić (bad pass; steal by K. Looney),14,10
1,6:16.0,Personal take foul by M. Kleber (drawn by K. Durant),,14,10
1,6:16.0,A. Iguodala enters the game for D. Green,,14,10
1,6:16.0,,J. Brunson enters the game for L. Dončić,14,10
1,6:16.0,,D. Finney-Smith enters the game for M. Kleber,14,10
1,6:03.0,K. Durant misses 2-pt jump shot from 7 ft,,14,10
1,6:01.0,Offensive rebound by K. Looney,,14,10
1,5:50.0,S. Curry makes 2-pt layup from 2 ft,,16,10
1,5:39.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by D. Jordan),16,13
1,5:21.0,K. Looney misses 2-pt jump shot from 4 ft,,16,13
1,5:20.0,,Defensive rebound by D. Finney-Smith,16,13
1,5:10.0,,W. Matthews misses 3-pt jump shot from 25 ft,16,13
1,5:07.0,,Offensive rebound by W. Matthews,16,13
1,5:06.0,,D. Jordan makes 2-pt dunk at rim (assist by W. Matthews),16,15
1,5:06.0,,Shooting foul by K. Looney (drawn by D. Jordan),16,15
1,5:06.0,,D. Jordan misses free throw 1 of 1,16,15
1,5:03.0,,Offensive rebound by D. Finney-Smith,16,15
1,4:54.0,,W. Matthews misses 3-pt jump shot from 26 ft,16,15
1,4:52.0,,Offensive rebound by J. Brunson,16,15
1,4:44.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by W. Matthews),16,17
1,4:34.0,Golden State full timeout,,16,17
1,4:34.0,D. Green enters the game for K. Looney,,16,17
1,4:20.0,K. Thompson misses 2-pt jump shot from 12 ft,,16,17
1,4:18.0,,Defensive rebound by D. Jordan,16,17
1,4:00.0,,J. Brunson misses 2-pt layup from 2 ft,16,17
1,3:57.0,,Offensive rebound by D. Jordan,16,17
1,3:57.0,,D. Jordan makes 2-pt dunk from 1 ft,16,19
1,3:48.0,S. Curry misses 3-pt jump shot from 25 ft,,16,19
1,3:45.0,,Defensive rebound by W. Matthews,16,19
