QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MILWAUKEE_ACTION,GOLDEN STATE_SCORE,MILWAUKEE_SCORE
1,11:33.0,,K. Middleton misses 3-pt jump shot from 24 ft,0,0
1,11:33.0,Defensive rebound by Team,,0,0
1,11:12.0,A. Iguodala misses 2-pt jump shot from 15 ft,,0,0
1,11:08.0,,Defensive rebound by B. Lopez,0,0
1,10:54.0,,K. Middleton misses 2-pt jump shot from 17 ft,0,0
1,10:50.0,Defensive rebound by A. Iguodala,,0,0
1,10:43.0,Turnover by S. Curry (lost ball; steal by E. Bledsoe),,0,0
1,10:42.0,,Turnover by G. Antetokounmpo (traveling),0,0
1,10:28.0,S. Curry misses 2-pt jump shot from 19 ft,,0,0
1,10:25.0,,Defensive rebound by G. Antetokounmpo,0,0
1,10:21.0,,Turnover by G. Antetokounmpo (lost ball; steal by K. Durant),0,0
1,10:14.0,K. Thompson misses 3-pt jump shot from 27 ft,,0,0
1,10:11.0,,Defensive rebound by B. Lopez,0,0
1,10:01.0,,E. Bledsoe makes 2-pt jump shot from 8 ft,0,2
1,9:52.0,K. Thompson makes 2-pt layup at rim (assist by S. Curry),,2,2
1,9:36.0,,M. Brogdon makes 2-pt layup from 2 ft,2,4
1,9:27.0,K. Looney makes 2-pt layup from 1 ft (assist by K. Thompson),,4,4
1,9:27.0,Shooting foul by G. Antetokounmpo (drawn by K. Looney),,4,4
1,9:27.0,K. Looney misses free throw 1 of 1,,4,4
1,9:24.0,,Defensive rebound by K. Middleton,4,4
1,9:10.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by A. Iguodala),4,4
1,9:07.0,Defensive rebound by A. Iguodala,,4,4
1,9:06.0,A. Iguodala makes 2-pt dunk from 1 ft,,6,4
1,8:56.0,,M. Brogdon misses 3-pt jump shot from 26 ft,6,4
1,8:53.0,Defensive rebound by K. Thompson,,6,4
1,8:47.0,S. Curry makes 3-pt jump shot from 30 ft (assist by K. Durant),,9,4
1,8:39.0,,Turnover by E. Bledsoe (lost ball; steal by S. Curry),9,4
1,8:39.0,Personal foul by E. Bledsoe (drawn by S. Curry),,9,4
1,8:30.0,Personal foul by K. Middleton (drawn by K. Durant),,9,4
1,8:23.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,12,4
1,8:22.0,,Milwaukee full timeout,12,4
1,8:06.0,,B. Lopez misses 2-pt layup from 2 ft,12,4
1,8:04.0,Defensive rebound by K. Looney,,12,4
1,7:55.0,Turnover by K. Durant (bad pass; steal by G. Antetokounmpo),,12,4
1,7:49.0,,K. Middleton misses 3-pt jump shot from 24 ft,12,4
1,7:45.0,Defensive rebound by A. Iguodala,,12,4
1,7:34.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Thompson),,14,4
1,7:22.0,,Personal foul by K. Thompson (drawn by G. Antetokounmpo),14,4
1,7:22.0,,P. Connaughton enters the game for M. Brogdon,14,4
1,7:08.0,,E. Bledsoe makes 2-pt layup from 6 ft,14,6
1,7:02.0,Turnover by K. Thompson (step out of bounds),,14,6
1,6:41.0,,K. Middleton misses 3-pt jump shot from 25 ft,14,6
1,6:39.0,,Offensive rebound by P. Connaughton,14,6
1,6:38.0,,P. Connaughton makes 2-pt layup from 1 ft,14,8
1,6:26.0,S. Curry misses 2-pt layup from 1 ft,,14,8
1,6:21.0,Offensive rebound by K. Looney,,14,8
1,6:20.0,K. Looney makes 2-pt dunk at rim,,16,8
1,6:05.0,,B. Lopez makes 2-pt layup at rim,16,10
1,6:05.0,,Shooting foul by K. Looney (drawn by B. Lopez),16,10
1,6:05.0,J. Bell enters the game for K. Looney,,16,10
1,6:05.0,,T. Maker enters the game for G. Antetokounmpo,16,10
1,6:05.0,,B. Lopez misses free throw 1 of 1,16,10
1,6:05.0,Defensive rebound by A. Iguodala,,16,10
1,5:53.0,J. Bell misses 2-pt layup from 2 ft,,16,10
1,5:53.0,,Defensive rebound by B. Lopez,16,10
1,5:49.0,,E. Bledsoe makes 2-pt layup at rim (assist by P. Connaughton),16,12
1,5:34.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by A. Iguodala),,18,12
1,5:19.0,,Turnover by K. Middleton (bad pass; steal by A. Iguodala),18,12
1,5:14.0,K. Thompson misses 3-pt jump shot from 27 ft,,18,12
1,5:11.0,,Defensive rebound by B. Lopez,18,12
1,5:04.0,,P. Connaughton misses 3-pt jump shot from 29 ft,18,12
1,5:02.0,,Offensive rebound by K. Middleton,18,12
1,4:57.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,18,12
1,4:53.0,,Offensive rebound by T. Maker,18,12
1,4:52.0,,T. Maker misses 2-pt hook shot from 4 ft,18,12
1,4:50.0,Defensive rebound by K. Durant,,18,12
1,4:43.0,K. Durant misses 3-pt jump shot from 27 ft,,18,12
1,4:40.0,Offensive rebound by J. Bell,,18,12
1,4:36.0,K. Durant misses 2-pt jump shot from 13 ft,,18,12
1,4:32.0,,Defensive rebound by K. Middleton,18,12
1,4:18.0,,Shooting foul by S. Curry (drawn by B. Lopez),18,12
1,4:18.0,,B. Lopez makes free throw 1 of 2,18,13
1,4:18.0,,T. Snell enters the game for K. Middleton,18,13
1,4:18.0,Golden State full timeout,,18,13
