QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,HOUSTON_ACTION,NEW ORLEANS_SCORE,HOUSTON_SCORE
1,11:48.0,D. Miller misses 3-pt jump shot from 26 ft (block by K. Faried),,0,0
1,11:47.0,,Defensive rebound by P. Tucker,0,0
1,11:33.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by J. Harden),0,3
1,11:27.0,Turnover by S. Hill (lost ball; steal by C. Paul),,0,3
1,11:17.0,,J. Harden misses 2-pt jump shot from 8 ft,0,3
1,11:17.0,,Offensive rebound by K. Faried,0,3
1,11:16.0,,K. Faried misses 2-pt layup from 1 ft,0,3
1,11:15.0,,Offensive rebound by K. Faried,0,3
1,11:15.0,,K. Faried makes 2-pt layup from 1 ft,0,5
1,11:00.0,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),,3,5
1,10:31.0,,J. Harden misses 3-pt jump shot from 26 ft (block by J. Holiday),3,5
1,10:29.0,Defensive rebound by J. Holiday,,3,5
1,10:18.0,Turnover by J. Okafor (lost ball; steal by J. Harden),,3,5
1,10:05.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),3,8
1,9:43.0,F. Jackson misses 2-pt jump shot from 7 ft,,3,8
1,9:42.0,Offensive rebound by J. Okafor,,3,8
1,9:41.0,J. Okafor makes 2-pt layup at rim,,5,8
1,9:29.0,,C. Paul misses 3-pt jump shot from 25 ft,5,8
1,9:29.0,Defensive rebound by S. Hill,,5,8
1,9:15.0,J. Okafor makes 2-pt hook shot from 5 ft (assist by S. Hill),,7,8
1,8:58.0,,E. Gordon misses 3-pt jump shot from 26 ft,7,8
1,8:57.0,,Offensive rebound by K. Faried,7,8
1,8:55.0,,K. Faried misses 2-pt layup from 1 ft,7,8
1,8:50.0,,Offensive rebound by Team,7,8
1,8:44.0,,K. Faried misses 2-pt layup from 5 ft (block by J. Okafor),7,8
1,8:39.0,Defensive rebound by Team,,7,8
1,8:33.0,Turnover by F. Jackson (bad pass; steal by J. Harden),,7,8
1,8:27.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul),7,11
1,8:16.0,Personal foul by K. Faried (drawn by F. Jackson),,7,11
1,8:10.0,J. Holiday misses 2-pt jump shot from 18 ft,,7,11
1,8:09.0,,Defensive rebound by P. Tucker,7,11
1,8:01.0,,J. Harden makes 2-pt layup from 1 ft,7,13
1,8:01.0,,Shooting foul by S. Hill (drawn by J. Harden),7,13
1,8:01.0,,J. Harden makes free throw 1 of 1,7,14
1,7:40.0,J. Okafor makes 2-pt dunk from 1 ft,,9,14
1,7:25.0,,K. Faried makes 2-pt layup from 3 ft (assist by J. Harden),9,16
1,7:18.0,J. Holiday makes 2-pt layup from 3 ft,,11,16
1,7:18.0,Shooting foul by E. Gordon (drawn by J. Holiday),,11,16
1,7:18.0,J. Holiday makes free throw 1 of 1,,12,16
1,6:58.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),12,19
1,6:47.0,F. Jackson misses 2-pt layup from 2 ft,,12,19
1,6:46.0,Offensive rebound by F. Jackson,,12,19
1,6:45.0,F. Jackson makes 2-pt layup from 1 ft,,14,19
1,6:38.0,,Turnover by C. Paul (bad pass; steal by D. Miller),14,19
1,6:31.0,D. Miller misses 3-pt jump shot from 28 ft,,14,19
1,6:31.0,Offensive rebound by J. Okafor,,14,19
1,6:31.0,J. Okafor misses 2-pt layup from 2 ft,,14,19
1,6:31.0,,Defensive rebound by K. Faried,14,19
1,6:19.0,,J. Harden misses 2-pt layup from 2 ft,14,19
1,6:18.0,Defensive rebound by J. Holiday,,14,19
1,6:07.0,S. Hill misses 3-pt jump shot from 22 ft,,14,19
1,6:07.0,,Defensive rebound by C. Paul,14,19
1,5:56.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Paul),14,22
1,5:33.0,F. Jackson misses 3-pt jump shot from 23 ft,,14,22
1,5:32.0,,Defensive rebound by P. Tucker,14,22
1,5:22.0,,J. Harden makes 2-pt jump shot from 8 ft,14,24
1,5:12.0,J. Holiday misses 2-pt jump shot from 3 ft,,14,24
1,5:11.0,Offensive rebound by J. Holiday,,14,24
1,5:05.0,J. Holiday misses 2-pt jump shot from 21 ft,,14,24
1,5:04.0,,Defensive rebound by K. Faried,14,24
1,4:56.0,,P. Tucker misses 3-pt jump shot from 23 ft,14,24
1,4:55.0,Defensive rebound by J. Okafor,,14,24
1,4:46.0,Shooting foul by E. Gordon (drawn by J. Okafor),,14,24
1,4:46.0,,Houston full timeout,14,24
1,4:46.0,K. Williams enters the game for S. Hill,,14,24
