QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
1,11:45.0,K. Thompson misses 3-pt jump shot from 24 ft,,0,0
1,11:42.0,,Defensive rebound by A. Aminu,0,0
1,11:31.0,,A. Aminu makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,11:14.0,S. Curry makes 2-pt jump shot from 21 ft (assist by D. Green),,2,2
1,10:58.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by A. Aminu),2,5
1,10:46.0,K. Looney misses 2-pt layup from 3 ft,,2,5
1,10:42.0,Offensive rebound by K. Looney,,2,5
1,10:42.0,K. Looney misses 2-pt layup at rim,,2,5
1,10:42.0,Offensive rebound by K. Looney,,2,5
1,10:35.0,S. Curry misses 3-pt jump shot from 34 ft,,2,5
1,10:33.0,,Defensive rebound by C. McCollum,2,5
1,10:20.0,,J. Nurkić misses 2-pt hook shot from 5 ft,2,5
1,10:19.0,,Offensive rebound by J. Nurkić,2,5
1,10:17.0,,J. Nurkić misses 2-pt layup from 3 ft,2,5
1,10:15.0,,Offensive rebound by J. Nurkić,2,5
1,10:12.0,,A. Aminu misses 3-pt jump shot from 25 ft,2,5
1,10:10.0,Defensive rebound by Team,,2,5
1,9:55.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,5,5
1,9:42.0,,Shooting foul by K. Durant (drawn by A. Aminu),5,5
1,9:42.0,,A. Aminu makes free throw 1 of 2,5,6
1,9:42.0,,A. Aminu makes free throw 2 of 2,5,7
1,9:30.0,K. Durant misses 2-pt jump shot from 15 ft,,5,7
1,9:29.0,,Defensive rebound by J. Nurkić,5,7
1,9:22.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),5,10
1,9:10.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,8,10
1,8:46.0,,D. Lillard misses 3-pt jump shot from 25 ft,8,10
1,8:45.0,Defensive rebound by Team,,8,10
1,8:38.0,S. Curry makes 3-pt jump shot from 26 ft,,11,10
1,8:19.0,,D. Lillard makes 2-pt jump shot from 21 ft,11,12
1,8:14.0,S. Curry misses 3-pt jump shot from 25 ft,,11,12
1,8:12.0,,Defensive rebound by Team,11,12
1,7:57.0,,C. McCollum misses 2-pt jump shot from 19 ft,11,12
1,7:55.0,,Offensive rebound by A. Aminu,11,12
1,7:51.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by A. Aminu),11,15
1,7:34.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,13,15
1,7:15.0,,C. McCollum misses 2-pt layup from 1 ft (block by K. Looney),13,15
1,7:12.0,Defensive rebound by K. Thompson,,13,15
1,7:05.0,K. Thompson misses 2-pt jump shot from 17 ft,,13,15
1,7:04.0,,Defensive rebound by J. Nurkić,13,15
1,6:55.0,,Personal foul by K. Looney (drawn by J. Nurkić),13,15
1,6:55.0,,Portland full timeout,13,15
1,6:48.0,,J. Nurkić misses 2-pt hook shot from 3 ft,13,15
1,6:45.0,Defensive rebound by K. Looney,,13,15
1,6:32.0,K. Durant makes 2-pt jump shot from 20 ft (assist by D. Green),,15,15
1,6:15.0,,Personal foul by S. Curry (drawn by C. McCollum),15,15
1,6:09.0,,M. Harkless misses 2-pt hook shot from 2 ft,15,15
1,6:09.0,,Offensive rebound by Team,15,15
1,6:02.0,,J. Nurkić misses 2-pt layup from 3 ft (block by K. Looney),15,15
1,6:02.0,,Offensive rebound by Team,15,15
1,5:58.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by A. Aminu),15,17
1,5:45.0,S. Curry makes 2-pt jump shot from 15 ft,,17,17
1,5:34.0,,J. Nurkić misses 2-pt layup from 1 ft,17,17
1,5:30.0,,Offensive rebound by J. Nurkić,17,17
1,5:23.0,,J. Nurkić misses 2-pt layup from 2 ft (block by K. Durant),17,17
1,5:20.0,,Offensive rebound by J. Nurkić,17,17
1,5:20.0,,J. Nurkić misses 2-pt hook shot from 8 ft,17,17
1,5:20.0,Defensive rebound by K. Durant,,17,17
1,5:14.0,S. Curry misses 3-pt jump shot from 28 ft,,17,17
1,5:12.0,,Defensive rebound by A. Aminu,17,17
1,5:02.0,,C. McCollum misses 3-pt jump shot from 24 ft,17,17
1,5:00.0,Defensive rebound by K. Thompson,,17,17
1,4:47.0,K. Thompson misses 2-pt jump shot from 8 ft,,17,17
1,4:45.0,,Defensive rebound by D. Lillard,17,17
