QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
1,11:39.0,,Turnover by R. Lopez (lost ball; steal by D. Green),0,0
1,11:30.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by M. Gasol),,2,0
1,11:16.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by B. Sampson),2,3
1,11:00.0,F. VanVleet makes 2-pt layup from 2 ft (assist by M. Gasol),,4,3
1,10:43.0,,W. Selden makes 2-pt jump shot from 20 ft,4,5
1,10:25.0,S. Ibaka makes 2-pt hook shot from 4 ft,,6,5
1,10:10.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,6,5
1,10:07.0,Defensive rebound by D. Green,,6,5
1,10:03.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,5
1,9:59.0,,Defensive rebound by R. Arcidiacono,6,5
1,9:51.0,,S. Harrison makes 2-pt layup from 3 ft,6,7
1,9:51.0,,Shooting foul by F. VanVleet (drawn by S. Harrison),6,7
1,9:51.0,,S. Harrison misses free throw 1 of 1,6,7
1,9:48.0,Defensive rebound by M. Gasol,,6,7
1,9:31.0,Personal foul by R. Arcidiacono (drawn by S. Ibaka),,6,7
1,9:21.0,F. VanVleet makes 2-pt jump shot from 6 ft,,8,7
1,9:21.0,Shooting foul by S. Harrison (drawn by F. VanVleet),,8,7
1,9:21.0,F. VanVleet makes free throw 1 of 1,,9,7
1,9:06.0,,R. Arcidiacono misses 2-pt jump shot from 6 ft,9,7
1,9:05.0,,Offensive rebound by R. Arcidiacono,9,7
1,9:02.0,,Turnover by R. Arcidiacono (lost ball; steal by K. Lowry),9,7
1,8:54.0,F. VanVleet makes 2-pt layup from 1 ft (assist by D. Green),,11,7
1,8:45.0,,W. Selden makes 3-pt jump shot from 27 ft (assist by R. Lopez),11,10
1,8:28.0,M. Gasol misses 2-pt jump shot from 18 ft,,11,10
1,8:27.0,,Defensive rebound by Team,11,10
1,8:14.0,,S. Harrison makes 2-pt layup from 2 ft,11,12
1,8:07.0,,Violation by Team (kicked ball),11,12
1,8:00.0,F. VanVleet misses 2-pt jump shot from 21 ft,,11,12
1,7:57.0,,Defensive rebound by B. Sampson,11,12
