QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW YORK_ACTION,DETROIT_SCORE,NEW YORK_SCORE
1,11:45.0,R. Jackson misses 3-pt jump shot from 27 ft,,0,0
1,11:43.0,,Defensive rebound by K. Knox,0,0
1,11:21.0,,K. Knox misses 3-pt jump shot from 25 ft,0,0
1,11:19.0,Defensive rebound by Team,,0,0
1,11:08.0,Turnover by W. Ellington (lost ball; steal by M. Hezonja),,0,0
1,11:00.0,,Offensive foul by M. Hezonja (drawn by W. Ellington),0,0
1,11:00.0,,Turnover by M. Hezonja (offensive foul),0,0
1,10:44.0,Turnover by A. Drummond (bad pass; steal by M. Hezonja),,0,0
1,10:37.0,,Turnover by D. Dotson (bad pass; steal by B. Brown),0,0
1,10:32.0,W. Ellington misses 3-pt jump shot from 23 ft,,0,0
1,10:30.0,Offensive rebound by R. Jackson,,0,0
1,10:21.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),,2,0
1,9:59.0,,K. Knox makes 2-pt layup from 2 ft (assist by L. Kornet),2,2
1,9:42.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),,5,2
1,9:28.0,,L. Kornet misses 3-pt jump shot from 27 ft,5,2
1,9:26.0,Defensive rebound by A. Drummond,,5,2
1,9:17.0,A. Drummond makes 2-pt layup from 3 ft (assist by W. Ellington),,7,2
1,9:05.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),7,4
1,8:50.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by R. Jackson),,10,4
1,8:37.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by M. Hezonja),10,6
1,8:20.0,A. Drummond misses 2-pt layup from 1 ft,,10,6
1,8:18.0,Offensive rebound by A. Drummond,,10,6
1,8:17.0,A. Drummond makes 2-pt layup at rim,,12,6
1,8:07.0,,K. Knox misses 3-pt jump shot from 27 ft,12,6
1,8:05.0,Defensive rebound by B. Brown,,12,6
1,8:00.0,Shooting foul by M. Robinson (drawn by B. Brown),,12,6
1,8:00.0,B. Brown makes free throw 1 of 2,,13,6
1,8:00.0,B. Brown makes free throw 2 of 2,,14,6
1,7:55.0,,New York full timeout,14,6
1,7:50.0,,Turnover by K. Knox (back court),14,6
1,7:44.0,R. Jackson makes 2-pt jump shot from 17 ft,,16,6
1,7:32.0,,Personal foul by B. Brown (drawn by M. Hezonja),16,6
1,7:19.0,,Turnover by M. Hezonja (bad pass; steal by A. Drummond),16,6
1,7:03.0,A. Drummond makes 2-pt hook shot from 7 ft,,18,6
1,6:49.0,,K. Knox misses 2-pt jump shot from 10 ft,18,6
1,6:48.0,,Offensive rebound by K. Knox,18,6
1,6:46.0,,K. Knox makes 2-pt layup from 5 ft,18,8
1,6:37.0,W. Ellington misses 3-pt jump shot from 25 ft,,18,8
1,6:35.0,,Defensive rebound by M. Robinson,18,8
1,6:29.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by M. Hezonja),18,11
1,6:10.0,R. Jackson misses 2-pt jump shot from 17 ft,,18,11
1,6:09.0,Offensive rebound by Team,,18,11
1,6:09.0,,K. Allen enters the game for M. Hezonja,18,11
1,6:02.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by A. Drummond),,21,11
1,5:46.0,,Personal foul by R. Jackson (drawn by M. Robinson),21,11
1,5:46.0,G. Robinson enters the game for T. Maker,,21,11
1,5:46.0,,H. Ellenson enters the game for L. Kornet,21,11
1,5:41.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by D. Dotson),21,13
1,5:13.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by G. Robinson),,24,13
1,4:54.0,,D. Dotson misses 2-pt jump shot from 6 ft (block by B. Brown),24,13
1,4:52.0,Defensive rebound by A. Drummond,,24,13
1,4:52.0,,J. Jenkins enters the game for D. Dotson,24,13
1,4:41.0,Shooting foul by M. Robinson (drawn by B. Brown),,24,13
1,4:41.0,B. Brown makes free throw 1 of 2,,25,13
1,4:41.0,,L. Kornet enters the game for M. Robinson,25,13
1,4:41.0,B. Brown makes free throw 2 of 2,,26,13
1,4:29.0,,L. Kornet misses 3-pt jump shot from 26 ft,26,13
1,4:27.0,Defensive rebound by A. Drummond,,26,13
1,4:13.0,R. Jackson makes 2-pt jump shot from 18 ft,,28,13
1,4:03.0,,New York full timeout,28,13
1,4:03.0,L. Galloway enters the game for B. Brown,,28,13
1,3:54.0,,J. Jenkins makes 3-pt jump shot from 23 ft (assist by K. Allen),28,16
1,3:39.0,L. Galloway misses 3-pt jump shot from 26 ft,,28,16
1,3:37.0,,Defensive rebound by K. Knox,28,16
1,3:20.0,,J. Jenkins makes 2-pt jump shot from 21 ft (assist by K. Allen),28,18
1,3:06.0,Def 3 sec tech foul by Team,,28,18
1,3:06.0,R. Jackson makes technical free throw,,29,18
1,2:57.0,W. Ellington misses 3-pt jump shot from 24 ft,,29,18
1,2:55.0,,Defensive rebound by K. Knox,29,18
1,2:46.0,,K. Allen makes 2-pt layup from 1 ft,29,20
1,2:37.0,A. Drummond misses 2-pt layup from 1 ft,,29,20
1,2:35.0,,Defensive rebound by H. Ellenson,29,20
1,2:28.0,,K. Allen misses 2-pt layup at rim,29,20
1,2:26.0,Defensive rebound by L. Galloway,,29,20
1,2:09.0,R. Jackson makes 2-pt jump shot from 4 ft,,31,20
1,2:09.0,Shooting foul by H. Ellenson (drawn by R. Jackson),,31,20
1,2:09.0,R. Jackson makes free throw 1 of 1,,32,20
1,1:52.0,,K. Allen misses 2-pt layup from 1 ft (block by G. Robinson),32,20
1,1:50.0,Defensive rebound by R. Jackson,,32,20
1,1:42.0,L. Galloway makes 2-pt layup from 1 ft (assist by R. Jackson),,34,20
1,1:24.0,,Turnover by K. Knox (out of bounds lost ball),34,20
1,1:24.0,Detroit full timeout,,34,20
1,1:24.0,L. Kennard enters the game for W. Ellington,,34,20
1,1:24.0,I. Smith enters the game for R. Jackson,,34,20
1,1:24.0,,D. Dotson enters the game for K. Knox,34,20
1,1:09.0,L. Galloway misses 2-pt layup from 10 ft,,34,20
1,1:07.0,Offensive rebound by A. Drummond,,34,20
1,1:06.0,A. Drummond makes 2-pt dunk from 1 ft,,36,20
1,0:46.0,,H. Ellenson misses 3-pt jump shot from 26 ft,36,20
1,0:44.0,Defensive rebound by A. Drummond,,36,20
1,0:33.0,I. Smith misses 2-pt jump shot from 15 ft,,36,20
1,0:31.0,Offensive rebound by A. Drummond,,36,20
1,0:29.0,A. Drummond misses 2-pt layup from 1 ft,,36,20
1,0:27.0,,Defensive rebound by H. Ellenson,36,20
1,0:04.0,,H. Ellenson makes 2-pt jump shot from 16 ft (assist by K. Allen),36,22
2,11:45.0,,J. Jenkins misses 2-pt jump shot from 16 ft,36,22
2,11:43.0,Defensive rebound by L. Galloway,,36,22
2,11:38.0,L. Kennard misses 3-pt jump shot from 26 ft,,36,22
2,11:37.0,,Defensive rebound by M. Hezonja,36,22
2,11:26.0,,H. Ellenson misses 2-pt layup from 5 ft,36,22
2,11:24.0,Defensive rebound by L. Galloway,,36,22
2,11:12.0,T. Maker misses 2-pt jump shot from 6 ft,,36,22
2,11:10.0,,Defensive rebound by J. Jenkins,36,22
2,11:01.0,,L. Kornet misses 3-pt jump shot from 25 ft,36,22
2,10:59.0,Defensive rebound by G. Robinson,,36,22
2,10:54.0,Personal foul by H. Ellenson (drawn by T. Maker),,36,22
2,10:54.0,,M. Robinson enters the game for H. Ellenson,36,22
2,10:45.0,Turnover by T. Maker (bad pass; steal by M. Robinson),,36,22
2,10:31.0,,J. Jenkins makes 2-pt jump shot from 22 ft (assist by L. Kornet),36,24
2,10:09.0,L. Kennard makes 2-pt layup from 2 ft,,38,24
2,9:54.0,,M. Robinson makes 2-pt dunk from 2 ft (assist by J. Jenkins),38,26
2,9:37.0,L. Galloway misses 3-pt jump shot from 24 ft,,38,26
2,9:35.0,,Defensive rebound by L. Kornet,38,26
2,9:18.0,,L. Kornet misses 2-pt jump shot from 16 ft,38,26
2,9:16.0,Defensive rebound by G. Robinson,,38,26
2,9:07.0,L. Kennard makes 3-pt jump shot from 24 ft (assist by I. Smith),,41,26
2,8:52.0,,J. Jenkins makes 2-pt jump shot from 10 ft (assist by M. Hezonja),41,28
