QUARTER,TIME_REMAINING,DALLAS_ACTION,MIAMI_ACTION,DALLAS_SCORE,MIAMI_SCORE
1,11:45.0,,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),0,2
1,11:26.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,0,2
1,11:24.0,,Defensive rebound by B. Adebayo,0,2
1,11:17.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),0,4
1,10:55.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Jackson),,2,4
1,10:39.0,,K. Olynyk misses 2-pt layup from 1 ft,2,4
1,10:36.0,Defensive rebound by L. Dončić,,2,4
1,10:24.0,D. Powell misses 3-pt jump shot from 24 ft,,2,4
1,10:20.0,,Defensive rebound by D. Jones,2,4
1,10:08.0,,D. Jones misses 3-pt jump shot from 26 ft,2,4
1,10:04.0,Defensive rebound by J. Brunson,,2,4
1,9:59.0,L. Dončić misses 3-pt jump shot from 27 ft,,2,4
1,9:54.0,,Defensive rebound by D. Jones,2,4
1,9:45.0,,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),2,6
1,9:19.0,L. Dončić misses 2-pt jump shot from 11 ft,,2,6
1,9:18.0,,Defensive rebound by Team,2,6
1,9:00.0,,K. Olynyk makes 2-pt jump shot from 15 ft (assist by B. Adebayo),2,8
1,9:00.0,Dallas full timeout,,2,8
1,8:51.0,Personal foul by D. Jones (drawn by L. Dončić),,2,8
1,8:51.0,D. Harris enters the game for L. Dončić,,2,8
1,8:45.0,J. Jackson makes 2-pt jump shot from 6 ft,,4,8
1,8:30.0,,Shooting foul by D. Harris (drawn by D. Jones),4,8
1,8:30.0,,D. Jones makes free throw 1 of 2,4,9
1,8:30.0,,D. Jones makes free throw 2 of 2,4,10
1,8:10.0,J. Brunson misses 2-pt jump shot from 4 ft,,4,10
1,8:07.0,,Defensive rebound by K. Olynyk,4,10
1,8:03.0,,Turnover by D. Jones (step out of bounds),4,10
1,7:51.0,Shooting foul by D. Waiters (drawn by D. Harris),,4,10
1,7:51.0,D. Harris makes free throw 1 of 3,,5,10
1,7:51.0,D. Harris misses free throw 2 of 3,,5,10
1,7:51.0,Offensive rebound by Team,,5,10
1,7:51.0,D. Harris makes free throw 3 of 3,,6,10
1,7:42.0,,Turnover by B. Adebayo (bad pass; steal by J. Jackson),6,10
1,7:36.0,J. Jackson misses 2-pt layup from 1 ft,,6,10
1,7:33.0,,Defensive rebound by D. Jones,6,10
1,7:24.0,,G. Dragić makes 2-pt hook shot from 2 ft,6,12
1,7:09.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Brunson),,8,12
1,6:57.0,,G. Dragić misses 2-pt jump shot from 9 ft,8,12
1,6:53.0,Defensive rebound by J. Jackson,,8,12
1,6:48.0,J. Brunson makes 2-pt layup from 1 ft (assist by J. Jackson),,10,12
1,6:41.0,,D. Waiters misses 3-pt jump shot from 25 ft,10,12
1,6:37.0,Defensive rebound by D. Powell,,10,12
1,6:32.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Brunson),,13,12
1,6:14.0,,G. Dragić misses 2-pt jump shot from 15 ft,13,12
1,6:12.0,Defensive rebound by D. Powell,,13,12
1,6:06.0,D. Nowitzki misses 3-pt jump shot from 24 ft,,13,12
1,6:03.0,,Defensive rebound by B. Adebayo,13,12
1,5:58.0,Defensive rebound by Team,,13,12
1,5:58.0,,B. Adebayo misses 2-pt layup from 6 ft (block by D. Powell),13,12
1,5:58.0,L. Dončić enters the game for D. Harris,,13,12
1,5:58.0,,D. Wade enters the game for D. Jones,13,12
1,5:43.0,L. Dončić misses 2-pt jump shot from 9 ft,,13,12
1,5:40.0,,Defensive rebound by D. Wade,13,12
1,5:28.0,,D. Waiters makes 2-pt layup from 2 ft,13,14
1,5:09.0,J. Jackson misses 2-pt layup from 2 ft,,13,14
1,5:05.0,,Defensive rebound by B. Adebayo,13,14
1,5:01.0,,K. Olynyk misses 3-pt jump shot from 24 ft,13,14
1,4:57.0,Defensive rebound by J. Jackson,,13,14
1,4:51.0,Turnover by L. Dončić (bad pass),,13,14
1,4:51.0,M. Kleber enters the game for D. Nowitzki,,13,14
1,4:51.0,,J. Johnson enters the game for K. Olynyk,13,14
1,4:31.0,,D. Waiters misses 3-pt jump shot from 26 ft,13,14
1,4:27.0,Defensive rebound by D. Powell,,13,14
1,4:18.0,J. Brunson misses 3-pt jump shot from 26 ft,,13,14
1,4:14.0,Offensive rebound by D. Powell,,13,14
1,4:03.0,L. Dončić makes 2-pt layup from 1 ft,,15,14
1,4:03.0,,Miami full timeout,15,14
1,4:03.0,,D. Robinson enters the game for D. Waiters,15,14
1,3:49.0,,Offensive foul by J. Johnson (drawn by J. Brunson),15,14
1,3:49.0,,Turnover by J. Johnson (offensive foul),15,14
1,3:39.0,Turnover by M. Kleber (bad pass; steal by D. Wade),,15,14
1,3:32.0,,J. Johnson makes 3-pt jump shot from 23 ft (assist by G. Dragić),15,17
1,3:08.0,L. Dončić makes 3-pt jump shot from 26 ft,,18,17
1,2:55.0,,G. Dragić misses 2-pt jump shot from 14 ft,18,17
1,2:53.0,Defensive rebound by L. Dončić,,18,17
