QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
1,11:46.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),0,2
1,11:28.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Teague),,3,2
1,11:21.0,,Shooting foul by T. Gibson (drawn by G. Antetokounmpo),3,2
1,11:21.0,,G. Antetokounmpo makes free throw 1 of 2,3,3
1,11:21.0,,G. Antetokounmpo makes free throw 2 of 2,3,4
1,11:13.0,D. Šarić misses 2-pt jump shot from 17 ft,,3,4
1,11:07.0,Offensive rebound by A. Wiggins,,3,4
1,11:05.0,Personal foul by K. Middleton (drawn by T. Gibson),,3,4
1,10:51.0,A. Wiggins misses 3-pt jump shot from 26 ft,,3,4
1,10:48.0,,Defensive rebound by M. Brogdon,3,4
1,10:42.0,,K. Middleton misses 3-pt jump shot from 23 ft,3,4
1,10:39.0,Defensive rebound by T. Gibson,,3,4
1,10:32.0,J. Okogie makes 3-pt jump shot from 25 ft (assist by D. Šarić),,6,4
1,10:13.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),6,7
1,10:03.0,J. Teague misses 2-pt jump shot from 5 ft,,6,7
1,10:01.0,,Defensive rebound by B. Lopez,6,7
1,9:56.0,,Turnover by G. Antetokounmpo (lost ball; steal by J. Teague),6,7
1,9:49.0,D. Šarić misses 2-pt layup from 1 ft,,6,7
1,9:46.0,,Defensive rebound by K. Middleton,6,7
1,9:44.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),6,9
1,9:27.0,A. Wiggins misses 2-pt jump shot from 17 ft,,6,9
1,9:24.0,,Defensive rebound by G. Antetokounmpo,6,9
1,9:16.0,,K. Middleton misses 2-pt jump shot from 14 ft,6,9
1,9:13.0,Defensive rebound by J. Okogie,,6,9
1,9:09.0,T. Gibson misses 2-pt jump shot from 12 ft (block by B. Lopez),,6,9
1,9:08.0,Offensive rebound by Team,,6,9
1,8:58.0,T. Gibson misses 2-pt layup from 4 ft,,6,9
1,8:57.0,,Defensive rebound by E. Bledsoe,6,9
1,8:51.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),6,11
1,8:51.0,Minnesota full timeout,,6,11
1,8:36.0,T. Gibson misses 2-pt jump shot from 12 ft,,6,11
1,8:33.0,,Defensive rebound by G. Antetokounmpo,6,11
1,8:27.0,,K. Middleton makes 2-pt jump shot from 14 ft,6,13
1,8:02.0,T. Gibson misses 2-pt layup from 2 ft,,6,13
1,7:57.0,Offensive rebound by T. Gibson,,6,13
1,7:57.0,T. Gibson makes 2-pt layup from 1 ft,,8,13
1,7:53.0,,K. Middleton misses 3-pt jump shot from 27 ft,8,13
1,7:51.0,Defensive rebound by T. Gibson,,8,13
1,7:42.0,J. Teague misses 2-pt jump shot from 11 ft,,8,13
1,7:39.0,,Defensive rebound by B. Lopez,8,13
1,7:32.0,,K. Middleton misses 3-pt jump shot from 27 ft,8,13
1,7:29.0,Defensive rebound by D. Šarić,,8,13
1,7:17.0,T. Gibson makes 2-pt jump shot from 3 ft (assist by J. Teague),,10,13
1,6:57.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),10,16
1,6:45.0,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Teague),,12,16
1,6:20.0,,B. Lopez makes 3-pt jump shot from 25 ft,12,19
1,6:06.0,A. Wiggins makes 2-pt jump shot from 13 ft,,14,19
1,5:56.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,14,19
1,5:52.0,Defensive rebound by A. Wiggins,,14,19
1,5:45.0,A. Wiggins misses 2-pt layup from 1 ft,,14,19
1,5:41.0,,Defensive rebound by B. Lopez,14,19
1,5:39.0,,Shooting foul by J. Okogie (drawn by M. Brogdon),14,19
1,5:39.0,,M. Brogdon misses free throw 1 of 2,14,19
1,5:39.0,,Offensive rebound by Team,14,19
1,5:39.0,T. Jones enters the game for T. Gibson,,14,19
1,5:39.0,D. Rose enters the game for J. Okogie,,14,19
1,5:39.0,A. Tolliver enters the game for J. Teague,,14,19
1,5:39.0,,S. Brown enters the game for G. Antetokounmpo,14,19
