QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
1,11:36.0,A. Crabbe misses 3-pt jump shot from 24 ft,,0,0
1,11:34.0,,Defensive rebound by D. Howard,0,0
1,11:20.0,,O. Porter misses 2-pt jump shot from 19 ft,0,0
1,11:18.0,Defensive rebound by Team,,0,0
1,11:16.0,Turnover by D. Russell (bad pass; steal by O. Porter),,0,0
1,11:11.0,,O. Porter misses 2-pt layup from 3 ft,0,0
1,11:09.0,Defensive rebound by J. Allen,,0,0
1,11:01.0,J. Harris misses 3-pt jump shot from 26 ft,,0,0
1,10:58.0,,Defensive rebound by D. Howard,0,0
1,10:50.0,,B. Beal makes 2-pt jump shot from 15 ft (assist by J. Wall),0,2
1,10:34.0,D. Russell makes 2-pt jump shot from 12 ft,,2,2
1,10:20.0,,D. Howard makes 2-pt jump shot from 16 ft (assist by J. Wall),2,4
1,9:55.0,Turnover by J. Dudley (bad pass; steal by D. Howard),,2,4
1,9:47.0,,D. Howard makes 2-pt layup from 2 ft (assist by M. Morris),2,6
1,9:38.0,J. Allen misses 2-pt jump shot from 13 ft,,2,6
1,9:35.0,,Defensive rebound by O. Porter,2,6
1,9:30.0,,M. Morris misses 3-pt jump shot from 25 ft,2,6
1,9:27.0,Defensive rebound by D. Russell,,2,6
1,9:21.0,Turnover by D. Russell (bad pass; steal by M. Morris),,2,6
1,9:16.0,,J. Wall misses 3-pt jump shot from 27 ft,2,6
1,9:14.0,Defensive rebound by A. Crabbe,,2,6
1,9:10.0,Turnover by J. Harris (step out of bounds),,2,6
1,8:57.0,,B. Beal misses 2-pt jump shot from 20 ft,2,6
1,8:53.0,Defensive rebound by J. Harris,,2,6
1,8:47.0,D. Russell makes 2-pt jump shot from 14 ft,,4,6
1,8:35.0,,D. Howard makes 2-pt dunk from 1 ft (assist by M. Morris),4,8
1,8:19.0,D. Russell misses 2-pt jump shot from 9 ft,,4,8
1,8:19.0,Offensive rebound by J. Allen,,4,8
1,8:18.0,J. Allen misses 2-pt layup from 1 ft,,4,8
1,8:18.0,,Defensive rebound by D. Howard,4,8
1,8:08.0,,J. Wall makes 2-pt jump shot from 12 ft,4,10
1,7:45.0,J. Harris misses 3-pt jump shot from 27 ft,,4,10
1,7:43.0,,Defensive rebound by D. Howard,4,10
1,7:38.0,,O. Porter misses 3-pt jump shot from 26 ft,4,10
1,7:34.0,Defensive rebound by J. Harris,,4,10
1,7:25.0,D. Russell makes 2-pt jump shot from 9 ft,,6,10
1,7:12.0,,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),6,12
1,7:12.0,Brooklyn full timeout,,6,12
1,7:00.0,Shooting foul by J. Wall (drawn by D. Russell),,6,12
1,7:00.0,D. Russell makes free throw 1 of 2,,7,12
1,7:00.0,D. Russell misses free throw 2 of 2,,7,12
1,6:58.0,,Defensive rebound by D. Howard,7,12
1,6:39.0,,B. Beal misses 2-pt jump shot from 22 ft,7,12
1,6:36.0,Defensive rebound by J. Allen,,7,12
1,6:36.0,S. Dinwiddie enters the game for J. Harris,,7,12
1,6:18.0,J. Allen makes 2-pt layup from 4 ft (assist by S. Dinwiddie),,9,12
1,6:03.0,,J. Wall misses 3-pt jump shot from 27 ft,9,12
1,6:00.0,Defensive rebound by S. Dinwiddie,,9,12
1,5:56.0,Turnover by D. Russell (turnover),,9,12
1,5:56.0,,Personal foul by D. Russell (drawn by J. Wall),9,12
1,5:56.0,Violation by Team (delay of game),,9,12
1,5:45.0,,O. Porter makes 2-pt jump shot from 21 ft,9,14
1,5:33.0,D. Russell makes 2-pt jump shot from 21 ft,,11,14
1,5:19.0,,Turnover by J. Wall (bad pass; steal by D. Russell),11,14
1,5:12.0,D. Russell misses 3-pt jump shot from 29 ft,,11,14
1,5:09.0,,Defensive rebound by O. Porter,11,14
1,5:01.0,,B. Beal makes 2-pt jump shot from 13 ft,11,16
1,4:45.0,Turnover by J. Dudley (bad pass; steal by J. Wall),,11,16
1,4:43.0,,Personal foul by J. Dudley (drawn by J. Wall),11,16
1,4:43.0,D. Carroll enters the game for J. Allen,,11,16
1,4:43.0,E. Davis enters the game for A. Crabbe,,11,16
1,4:43.0,R. Kurucs enters the game for J. Dudley,,11,16
1,4:35.0,,Turnover by O. Porter (bad pass; steal by S. Dinwiddie),11,16
1,4:25.0,D. Russell makes 2-pt jump shot from 19 ft (assist by E. Davis),,13,16
1,4:06.0,,J. Wall makes 3-pt jump shot from 27 ft (assist by O. Porter),13,19
1,3:53.0,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by D. Russell),,16,19
1,3:37.0,,B. Beal makes 2-pt layup from 4 ft,16,21
1,3:30.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,19,21
1,3:19.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by B. Beal),19,23
1,2:58.0,D. Russell makes 2-pt jump shot from 14 ft,,21,23
1,2:57.0,,Washington full timeout,21,23
1,2:57.0,S. Napier enters the game for D. Russell,,21,23
1,2:57.0,,J. Green enters the game for M. Morris,21,23
1,2:57.0,,K. Oubre enters the game for O. Porter,21,23
1,2:57.0,,T. Satoranský enters the game for J. Wall,21,23
1,2:41.0,,D. Howard makes 2-pt dunk from 1 ft (assist by B. Beal),21,25
1,2:41.0,,Shooting foul by E. Davis (drawn by D. Howard),21,25
1,2:41.0,,D. Howard makes free throw 1 of 1,21,26
1,2:21.0,R. Kurucs makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,23,26
1,2:07.0,,Turnover by J. Green (bad pass),23,26
1,1:44.0,S. Napier misses 3-pt jump shot from 26 ft,,23,26
1,1:38.0,,Defensive rebound by K. Oubre,23,26
1,1:33.0,,D. Howard makes 2-pt jump shot from 18 ft (assist by K. Oubre),23,28
1,1:16.0,Offensive foul by S. Dinwiddie (drawn by T. Satoranský),,23,28
1,1:16.0,Turnover by S. Dinwiddie (offensive foul),,23,28
1,1:16.0,,A. Rivers enters the game for B. Beal,23,28
1,1:05.0,,D. Howard misses 2-pt layup from 1 ft (block by S. Napier),23,28
1,1:05.0,Defensive rebound by E. Davis,,23,28
1,0:53.0,D. Carroll misses 2-pt layup from 3 ft,,23,28
1,0:52.0,Offensive rebound by E. Davis,,23,28
1,0:52.0,E. Davis makes 2-pt layup from 3 ft,,25,28
