QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
1,11:44.0,A. Gordon misses 2-pt jump shot from 5 ft,,0,0
1,11:41.0,,Defensive rebound by M. Turner,0,0
1,11:24.0,,M. Turner misses 2-pt jump shot from 5 ft,0,0
1,11:21.0,,Offensive rebound by M. Turner,0,0
1,11:18.0,,Turnover by M. Turner (bad pass; steal by N. Vučević),0,0
1,11:09.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,3,0
1,10:52.0,,D. Collison misses 2-pt jump shot from 16 ft,3,0
1,10:50.0,Defensive rebound by A. Gordon,,3,0
1,10:43.0,Personal foul by D. Collison (drawn by A. Gordon),,3,0
1,10:35.0,A. Gordon makes 2-pt jump shot from 5 ft (assist by J. Isaac),,5,0
1,10:21.0,,Turnover by W. Matthews (offensive foul),5,0
1,10:21.0,,Offensive foul by W. Matthews (drawn by E. Fournier),5,0
1,10:10.0,A. Gordon misses 2-pt jump shot at rim (block by M. Turner),,5,0
1,10:09.0,Offensive rebound by Team,,5,0
1,9:58.0,E. Fournier makes 2-pt jump shot from 19 ft (assist by A. Gordon),,7,0
1,9:44.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,7,0
1,9:41.0,Defensive rebound by J. Isaac,,7,0
1,9:37.0,J. Isaac makes 3-pt jump shot from 24 ft (assist by D. Augustin),,10,0
1,9:21.0,,Personal foul by J. Isaac (drawn by T. Young),10,0
1,9:14.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),10,2
1,8:56.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),,13,2
1,8:45.0,,Indiana full timeout,13,2
1,8:39.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),13,4
1,8:13.0,N. Vučević misses 2-pt jump shot from 14 ft,,13,4
1,8:10.0,Offensive rebound by Team,,13,4
1,8:01.0,E. Fournier makes 2-pt jump shot from 19 ft,,15,4
1,7:40.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),15,6
1,7:27.0,A. Gordon misses 2-pt jump shot from 12 ft,,15,6
1,7:24.0,,Defensive rebound by B. Bogdanović,15,6
1,7:16.0,,Personal foul by A. Gordon (drawn by M. Turner),15,6
1,7:06.0,,Personal foul by E. Fournier (drawn by M. Turner),15,6
1,7:01.0,,D. Collison makes 2-pt jump shot from 13 ft,15,8
1,6:47.0,Turnover by J. Isaac (bad pass),,15,8
1,6:37.0,,M. Turner makes 2-pt jump shot from 9 ft (assist by D. Collison),15,10
1,6:20.0,Shooting foul by W. Matthews (drawn by N. Vučević),,15,10
1,6:20.0,N. Vučević makes free throw 1 of 2,,16,10
1,6:20.0,W. Iwundu enters the game for A. Gordon,,16,10
1,6:20.0,,C. Joseph enters the game for W. Matthews,16,10
1,6:20.0,N. Vučević makes free throw 2 of 2,,17,10
1,6:11.0,,B. Bogdanović makes 2-pt layup at rim,17,12
1,5:57.0,E. Fournier makes 2-pt jump shot from 22 ft,,19,12
1,5:41.0,,D. Collison makes 2-pt jump shot from 17 ft,19,14
1,5:30.0,E. Fournier misses 2-pt jump shot from 12 ft,,19,14
1,5:27.0,,Defensive rebound by M. Turner,19,14
1,5:17.0,,M. Turner makes 2-pt dunk from 3 ft (assist by D. Collison),19,16
1,5:08.0,Orlando full timeout,,19,16
1,5:06.0,N. Vučević misses 2-pt jump shot from 12 ft,,19,16
1,5:05.0,,Defensive rebound by T. Young,19,16
1,4:47.0,,M. Turner misses 3-pt jump shot from 27 ft,19,16
1,4:44.0,Defensive rebound by D. Augustin,,19,16
1,4:37.0,D. Augustin misses 2-pt layup from 1 ft (block by T. Young),,19,16
1,4:37.0,,Defensive rebound by Team,19,16
1,4:37.0,I. Briscoe enters the game for D. Augustin,,19,16
1,4:26.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by C. Joseph),19,19
1,4:02.0,N. Vučević makes 2-pt hook shot from 4 ft,,21,19
1,3:51.0,,Personal foul by N. Vučević (drawn by D. Collison),21,19
1,3:51.0,T. Ross enters the game for E. Fournier,,21,19
1,3:51.0,,T. Evans enters the game for B. Bogdanović,21,19
1,3:51.0,,T. Leaf enters the game for T. Young,21,19
1,3:42.0,,D. Collison makes 2-pt jump shot from 13 ft (assist by T. Leaf),21,21
1,3:24.0,I. Briscoe misses 2-pt layup from 1 ft,,21,21
1,3:21.0,,Defensive rebound by T. Leaf,21,21
1,3:16.0,,D. Collison misses 3-pt jump shot from 27 ft,21,21
1,3:14.0,Defensive rebound by J. Isaac,,21,21
1,3:06.0,Turnover by I. Briscoe (bad pass),,21,21
1,2:56.0,,Shooting foul by I. Briscoe (drawn by D. Collison),21,21
1,2:56.0,,D. Collison makes free throw 1 of 2,21,22
1,2:56.0,K. Birch enters the game for J. Isaac,,21,22
1,2:56.0,A. Gordon enters the game for N. Vučević,,21,22
1,2:56.0,,K. O'Quinn enters the game for M. Turner,21,22
1,2:56.0,,D. Collison makes free throw 2 of 2,21,23
1,2:40.0,W. Iwundu makes 2-pt jump shot from 21 ft (assist by T. Ross),,23,23
1,2:27.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,23,23
