QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
1,11:52.0,L. Ball misses 3-pt jump shot from 26 ft,,0,0
1,11:49.0,,Defensive rebound by N. Vučević,0,0
1,11:40.0,,Turnover by N. Vučević (bad pass),0,0
1,11:26.0,J. McGee makes 2-pt dunk from 2 ft (assist by B. Ingram),,2,0
1,11:12.0,,E. Fournier misses 3-pt jump shot from 23 ft,2,0
1,11:08.0,Defensive rebound by L. James,,2,0
1,11:05.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,4,0
1,10:48.0,,Turnover by N. Vučević (lost ball; steal by L. Ball),4,0
1,10:38.0,B. Ingram misses 3-pt jump shot from 27 ft,,4,0
1,10:36.0,,Defensive rebound by A. Gordon,4,0
1,10:28.0,,E. Fournier makes 2-pt jump shot from 8 ft,4,2
1,10:11.0,K. Kuzma misses 2-pt hook shot from 8 ft,,4,2
1,10:08.0,,Defensive rebound by N. Vučević,4,2
1,10:02.0,,A. Gordon makes 2-pt layup from 1 ft,4,4
1,9:51.0,Turnover by L. James (bad pass),,4,4
1,9:30.0,,N. Vučević misses 2-pt layup from 3 ft,4,4
1,9:27.0,Defensive rebound by K. Kuzma,,4,4
1,9:25.0,Shooting foul by W. Iwundu (drawn by L. James),,4,4
1,9:25.0,L. James makes free throw 1 of 2,,5,4
1,9:25.0,L. James makes free throw 2 of 2,,6,4
1,9:10.0,,N. Vučević makes 2-pt jump shot from 6 ft (assist by E. Fournier),6,6
1,8:53.0,K. Kuzma misses 2-pt layup from 2 ft (block by W. Iwundu),,6,6
1,8:53.0,Offensive rebound by Team,,6,6
1,8:47.0,B. Ingram makes 2-pt dunk from 2 ft,,8,6
1,8:30.0,,E. Fournier makes 2-pt layup from 2 ft,8,8
1,8:21.0,L. James makes 3-pt jump shot from 25 ft,,11,8
1,8:01.0,,W. Iwundu misses 3-pt jump shot from 26 ft,11,8
1,7:59.0,Defensive rebound by K. Kuzma,,11,8
1,7:54.0,K. Kuzma misses 2-pt layup from 6 ft (block by W. Iwundu),,11,8
1,7:54.0,,Defensive rebound by Team,11,8
1,7:45.0,,A. Gordon misses 2-pt jump shot from 4 ft,11,8
1,7:42.0,Defensive rebound by L. Ball,,11,8
1,7:32.0,B. Ingram makes 2-pt jump shot from 12 ft,,13,8
1,7:14.0,,Turnover by D. Augustin (bad pass),13,8
1,7:07.0,L. James misses 2-pt layup from 5 ft,,13,8
1,7:05.0,,Defensive rebound by E. Fournier,13,8
1,7:01.0,,E. Fournier misses 2-pt layup from 3 ft (block by L. Ball),13,8
1,7:01.0,,Offensive rebound by Team,13,8
1,7:01.0,,E. Fournier makes 2-pt layup from 3 ft (assist by D. Augustin),13,10
1,6:41.0,Shooting foul by W. Iwundu (drawn by B. Ingram),,13,10
1,6:41.0,,Orlando full timeout,13,10
1,6:41.0,T. Chandler enters the game for J. McGee,,13,10
1,6:41.0,B. Ingram makes free throw 1 of 2,,14,10
1,6:41.0,B. Ingram makes free throw 2 of 2,,15,10
1,6:23.0,,A. Gordon misses 2-pt jump shot from 14 ft,15,10
1,6:20.0,Defensive rebound by K. Kuzma,,15,10
1,6:10.0,L. Ball misses 3-pt jump shot from 26 ft,,15,10
1,6:07.0,,Defensive rebound by A. Gordon,15,10
1,6:00.0,,N. Vučević misses 3-pt jump shot from 27 ft,15,10
1,6:00.0,Defensive rebound by B. Ingram,,15,10
1,5:48.0,Turnover by K. Kuzma (discontinued dribble),,15,10
1,5:48.0,K. Caldwell-Pope enters the game for B. Ingram,,15,10
1,5:27.0,,Turnover by N. Vučević (bad pass; steal by L. Ball),15,10
1,5:21.0,L. James makes 2-pt layup from 3 ft (assist by L. Ball),,17,10
1,4:59.0,,D. Augustin misses 2-pt layup from 3 ft,17,10
1,4:56.0,,Offensive rebound by N. Vučević,17,10
1,4:54.0,,N. Vučević makes 2-pt layup from 4 ft,17,12
1,4:47.0,L. James makes 2-pt layup from 2 ft,,19,12
1,4:36.0,,Shooting foul by L. Ball (drawn by D. Augustin),19,12
1,4:36.0,,D. Augustin makes free throw 1 of 2,19,13
1,4:36.0,,T. Ross enters the game for W. Iwundu,19,13
1,4:36.0,,D. Augustin makes free throw 2 of 2,19,14
1,4:27.0,Offensive foul by T. Chandler (drawn by N. Vučević),,19,14
1,4:27.0,Turnover by T. Chandler (offensive foul),,19,14
1,4:27.0,J. Hart enters the game for L. James,,19,14
1,4:27.0,,J. Grant enters the game for D. Augustin,19,14
1,4:14.0,,N. Vučević misses 2-pt jump shot from 18 ft,19,14
1,4:12.0,Defensive rebound by K. Caldwell-Pope,,19,14
1,4:00.0,K. Kuzma misses 3-pt jump shot from 26 ft,,19,14
1,4:00.0,,Defensive rebound by Team,19,14
1,4:00.0,L. Stephenson enters the game for K. Kuzma,,19,14
1,4:00.0,,J. Isaac enters the game for A. Gordon,19,14
1,3:50.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Grant),19,17
1,3:35.0,L. Stephenson makes 3-pt jump shot from 24 ft (assist by L. Ball),,22,17
1,3:12.0,,J. Grant misses 3-pt jump shot from 25 ft,22,17
1,3:09.0,,Offensive rebound by N. Vučević,22,17
1,3:07.0,,E. Fournier misses 3-pt jump shot from 26 ft,22,17
1,3:04.0,,Offensive rebound by J. Isaac,22,17
1,2:56.0,,E. Fournier makes 2-pt layup from 5 ft,22,19
1,2:56.0,,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),22,19
1,2:56.0,LA Lakers full timeout,,22,19
1,2:56.0,B. Ingram enters the game for L. Ball,,22,19
1,2:56.0,,M. Bamba enters the game for N. Vučević,22,19
1,2:56.0,,E. Fournier misses free throw 1 of 1,22,19
1,2:56.0,Defensive rebound by J. Hart,,22,19
1,2:42.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,22,19
1,2:42.0,K. Caldwell-Pope makes free throw 1 of 2,,23,19
1,2:42.0,,J. Simmons enters the game for E. Fournier,23,19
1,2:42.0,K. Caldwell-Pope makes free throw 2 of 2,,24,19
1,2:28.0,,T. Ross makes 2-pt jump shot from 16 ft (assist by J. Grant),24,21
1,2:09.0,B. Ingram misses 2-pt jump shot from 7 ft (block by J. Isaac),,24,21
1,2:04.0,Offensive rebound by K. Caldwell-Pope,,24,21
1,2:02.0,K. Caldwell-Pope makes 2-pt jump shot from 22 ft (assist by L. Stephenson),,26,21
1,1:42.0,,J. Isaac misses 3-pt jump shot from 25 ft,26,21
1,1:39.0,Defensive rebound by B. Ingram,,26,21
1,1:30.0,B. Ingram misses 2-pt jump shot from 10 ft,,26,21
1,1:28.0,,Defensive rebound by J. Simmons,26,21
1,1:25.0,,J. Simmons makes 2-pt layup from 3 ft,26,23
1,1:25.0,,Shooting foul by J. Hart (drawn by J. Simmons),26,23
1,1:25.0,,J. Simmons misses free throw 1 of 1,26,23
1,1:25.0,Defensive rebound by T. Chandler,,26,23
1,1:12.0,J. Hart makes 3-pt jump shot from 24 ft (assist by B. Ingram),,29,23
1,0:49.0,,J. Simmons misses 3-pt jump shot from 22 ft,29,23
1,0:47.0,Defensive rebound by J. Hart,,29,23
1,0:27.0,J. Hart makes 2-pt layup from 2 ft (assist by B. Ingram),,31,23
1,0:02.0,,J. Isaac makes 2-pt jump shot from 21 ft (assist by J. Simmons),31,25
1,0:00.0,L. Stephenson misses 3-pt jump shot from 47 ft,,31,25
1,0:00.0,Offensive rebound by Team,,31,25
2,11:40.0,,J. Simmons makes 2-pt jump shot from 10 ft (assist by M. Bamba),31,27
2,11:19.0,J. Hart misses 3-pt jump shot from 26 ft,,31,27
2,11:15.0,,Defensive rebound by J. Isaac,31,27
2,10:58.0,,J. Isaac misses 2-pt jump shot from 15 ft,31,27
2,10:55.0,Defensive rebound by L. Stephenson,,31,27
2,10:53.0,Turnover by L. Stephenson (bad pass),,31,27
2,10:34.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by J. Grant),31,29
2,10:16.0,J. McGee misses 2-pt layup from 2 ft (block by J. Isaac),,31,29
2,10:12.0,Offensive rebound by Team,,31,29
2,10:09.0,Shooting foul by M. Bamba (drawn by J. McGee),,31,29
2,10:09.0,J. McGee misses free throw 1 of 2,,31,29
2,10:09.0,Offensive rebound by Team,,31,29
2,10:09.0,J. McGee makes free throw 2 of 2,,32,29
2,9:57.0,,J. Simmons makes 2-pt jump shot from 13 ft,32,31
2,9:43.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,32,31
2,9:40.0,,Defensive rebound by T. Ross,32,31
