QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
1,11:54.0,,Turnover by R. Rondo (bad pass),0,0
1,11:41.0,T. Bryant makes 2-pt dunk at rim (assist by B. Beal),,2,0
1,11:27.0,,R. Rondo makes 2-pt layup from 2 ft,2,2
1,11:04.0,T. Brown misses 2-pt layup from 3 ft (block by J. McGee),,2,2
1,11:02.0,,Defensive rebound by J. McGee,2,2
1,10:59.0,,K. Kuzma misses 3-pt jump shot from 25 ft,2,2
1,10:54.0,Defensive rebound by T. Bryant,,2,2
1,10:46.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Brown),,4,2
1,10:33.0,,L. James misses 3-pt jump shot from 25 ft,4,2
1,10:31.0,Defensive rebound by B. Beal,,4,2
1,10:26.0,B. Beal misses 3-pt jump shot from 28 ft,,4,2
1,10:22.0,Offensive rebound by T. Satoranský,,4,2
1,10:18.0,T. Bryant misses 2-pt jump shot from 17 ft,,4,2
1,10:13.0,,Defensive rebound by L. James,4,2
1,10:09.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),4,4
1,9:57.0,T. Satoranský makes 2-pt jump shot from 3 ft,,6,4
1,9:47.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),6,7
1,9:31.0,T. Bryant makes 3-pt jump shot from 25 ft (assist by B. Beal),,9,7
1,9:12.0,,L. James misses 2-pt jump shot from 12 ft,9,7
1,9:08.0,Defensive rebound by T. Brown,,9,7
1,8:56.0,T. Satoranský misses 2-pt jump shot from 9 ft,,9,7
1,8:53.0,,Defensive rebound by J. McGee,9,7
1,8:33.0,,L. James misses 2-pt layup from 2 ft,9,7
1,8:29.0,,Offensive rebound by J. McGee,9,7
1,8:29.0,,J. McGee makes 2-pt layup from 1 ft,9,9
1,8:16.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Bryant),,11,9
1,8:00.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),11,11
1,7:38.0,T. Ariza makes 2-pt jump shot from 5 ft,,13,11
1,7:38.0,Shooting foul by J. McGee (drawn by T. Ariza),,13,11
1,7:38.0,T. Ariza makes free throw 1 of 1,,14,11
1,7:21.0,,K. Kuzma misses 3-pt jump shot from 25 ft,14,11
1,7:18.0,Defensive rebound by T. Brown,,14,11
1,7:13.0,T. Ariza misses 3-pt jump shot from 26 ft,,14,11
1,7:07.0,,Defensive rebound by L. James,14,11
1,7:00.0,,L. James makes 2-pt layup from 2 ft,14,13
1,6:54.0,,Violation by Team (kicked ball),14,13
1,6:54.0,,LA Lakers full timeout,14,13
1,6:40.0,T. Bryant misses 3-pt jump shot from 27 ft,,14,13
1,6:35.0,,Defensive rebound by K. Caldwell-Pope,14,13
1,6:32.0,,Shooting foul by T. Satoranský (drawn by L. James),14,13
1,6:32.0,,L. James misses free throw 1 of 2,14,13
1,6:32.0,,Offensive rebound by Team,14,13
1,6:32.0,,L. James misses free throw 2 of 2,14,13
1,6:29.0,,Offensive rebound by K. Caldwell-Pope,14,13
1,6:22.0,,K. Kuzma misses 3-pt jump shot from 26 ft,14,13
1,6:20.0,Defensive rebound by B. Beal,,14,13
1,6:07.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,17,13
1,5:45.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),17,15
1,5:36.0,T. Ariza misses 3-pt jump shot from 25 ft,,17,15
1,5:34.0,,Defensive rebound by J. McGee,17,15
1,5:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,17,15
1,5:25.0,Defensive rebound by T. Brown,,17,15
1,5:19.0,Turnover by T. Brown (bad pass; steal by R. Rondo),,17,15
1,5:16.0,,Turnover by R. Rondo (bad pass),17,15
1,5:16.0,J. Green enters the game for T. Ariza,,17,15
1,5:16.0,,A. Caruso enters the game for L. James,17,15
1,5:16.0,,L. Stephenson enters the game for R. Rondo,17,15
1,4:57.0,B. Beal misses 3-pt jump shot from 23 ft,,17,15
1,4:52.0,Offensive rebound by T. Brown,,17,15
1,4:52.0,T. Brown misses 2-pt dunk at rim,,17,15
1,4:51.0,,Defensive rebound by A. Caruso,17,15
1,4:50.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by A. Caruso),17,17
1,4:35.0,T. Satoranský misses 2-pt layup from 3 ft (block by J. McGee),,17,17
1,4:30.0,Offensive rebound by J. Green,,17,17
1,4:29.0,Turnover by J. Green (lost ball; steal by J. McGee),,17,17
1,4:29.0,,K. Caldwell-Pope makes 2-pt dunk from 2 ft (assist by J. McGee),17,19
1,4:29.0,Washington full timeout,,17,19
1,4:29.0,J. Parker enters the game for T. Brown,,17,19
1,4:29.0,B. Portis enters the game for T. Bryant,,17,19
1,4:15.0,B. Beal makes 2-pt jump shot from 17 ft (assist by T. Satoranský),,19,19
1,4:02.0,,J. McGee makes 2-pt dunk from 2 ft (assist by A. Caruso),19,21
1,3:48.0,J. Green misses 3-pt jump shot from 26 ft,,19,21
1,3:46.0,,Defensive rebound by K. Kuzma,19,21
1,3:41.0,,K. Kuzma misses 2-pt layup from 1 ft,19,21
1,3:36.0,,Offensive rebound by J. McGee,19,21
1,3:36.0,,J. McGee misses 2-pt hook shot from 6 ft,19,21
1,3:34.0,Defensive rebound by B. Portis,,19,21
1,3:29.0,B. Beal makes 2-pt layup from 2 ft,,21,21
1,3:12.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),21,23
1,2:53.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,23,23
1,2:48.0,,Shooting foul by J. Green (drawn by A. Caruso),23,23
1,2:48.0,,A. Caruso misses free throw 1 of 2,23,23
1,2:48.0,,Offensive rebound by Team,23,23
1,2:48.0,C. Randle enters the game for T. Satoranský,,23,23
1,2:48.0,,M. Wagner enters the game for K. Kuzma,23,23
1,2:48.0,,J. Williams enters the game for J. McGee,23,23
1,2:48.0,,A. Caruso makes free throw 2 of 2,23,24
1,2:37.0,J. Parker misses 2-pt jump shot from 16 ft,,23,24
1,2:33.0,,Defensive rebound by L. Stephenson,23,24
1,2:21.0,,M. Wagner makes 2-pt layup from 1 ft,23,26
1,2:09.0,B. Portis misses 2-pt hook shot from 5 ft (block by M. Wagner),,23,26
1,2:06.0,,Defensive rebound by L. Stephenson,23,26
1,2:00.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. Stephenson),23,29
1,1:49.0,Shooting foul by K. Caldwell-Pope (drawn by B. Beal),,23,29
1,1:49.0,B. Beal makes free throw 1 of 2,,24,29
1,1:49.0,B. Beal makes free throw 2 of 2,,25,29
1,1:30.0,,Turnover by A. Caruso (bad pass; steal by J. Green),25,29
1,1:30.0,Personal foul by A. Caruso (drawn by C. Randle),,25,29
1,1:30.0,C. Randle makes free throw 1 of 2,,26,29
1,1:30.0,J. McRae enters the game for B. Beal,,26,29
1,1:30.0,C. Randle makes free throw 2 of 2,,27,29
1,1:20.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Wagner),27,32
1,1:04.0,Shooting foul by M. Wagner (drawn by J. Green),,27,32
1,1:04.0,J. Green makes free throw 1 of 2,,28,32
1,1:04.0,J. Green makes free throw 2 of 2,,29,32
1,0:52.0,,M. Wagner misses 3-pt jump shot from 26 ft,29,32
1,0:48.0,,Offensive rebound by L. Stephenson,29,32
1,0:48.0,,L. Stephenson misses 2-pt layup from 2 ft,29,32
1,0:48.0,,Offensive rebound by L. Stephenson,29,32
1,0:47.0,,L. Stephenson misses 2-pt layup from 1 ft,29,32
1,0:47.0,Defensive rebound by J. McRae,,29,32
1,0:36.0,,Violation by Team (kicked ball),29,32
1,0:27.0,J. McRae misses 3-pt jump shot from 25 ft,,29,32
1,0:23.0,,Defensive rebound by M. Wagner,29,32
1,0:05.0,,L. Stephenson makes 2-pt jump shot from 19 ft,29,34
1,0:01.0,J. McRae misses 3-pt jump shot from 27 ft,,29,34
1,0:01.0,Offensive rebound by Team,,29,34
2,11:38.0,B. Portis misses 3-pt jump shot from 26 ft,,29,34
2,11:33.0,,Defensive rebound by L. James,29,34
