QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MIAMI_ACTION,SACRAMENTO_SCORE,MIAMI_SCORE
1,11:37.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by H. Whiteside),,0,0
1,11:33.0,,Defensive rebound by G. Dragić,0,0
1,11:28.0,,G. Dragić makes 3-pt jump shot from 25 ft,0,3
1,11:12.0,N. Bjelica misses 2-pt layup from 6 ft (block by K. Olynyk),,0,3
1,11:12.0,,Defensive rebound by H. Whiteside,0,3
1,11:09.0,,Turnover by H. Whiteside (bad pass; steal by B. Hield),0,3
1,11:04.0,N. Bjelica misses 3-pt jump shot from 24 ft,,0,3
1,11:01.0,,Defensive rebound by H. Whiteside,0,3
1,10:57.0,,Turnover by H. Whiteside (bad pass; steal by D. Fox),0,3
1,10:56.0,D. Fox makes 2-pt dunk from 1 ft,,2,3
1,10:39.0,,Offensive foul by H. Whiteside (drawn by I. Shumpert),2,3
1,10:39.0,,Turnover by H. Whiteside (offensive foul),2,3
1,10:24.0,Turnover by D. Fox (bad pass; steal by G. Dragić),,2,3
1,10:22.0,,Turnover by G. Dragić (bad pass),2,3
1,10:09.0,N. Bjelica misses 2-pt jump shot from 21 ft,,2,3
1,10:09.0,,Defensive rebound by Team,2,3
1,9:58.0,,G. Dragić misses 2-pt layup from 2 ft,2,3
1,9:55.0,,Offensive rebound by H. Whiteside,2,3
1,9:55.0,,H. Whiteside makes 2-pt layup at rim,2,5
1,9:42.0,B. Hield misses 2-pt jump shot from 11 ft,,2,5
1,9:39.0,,Defensive rebound by H. Whiteside,2,5
1,9:31.0,,H. Whiteside misses 2-pt jump shot from 14 ft,2,5
1,9:29.0,Defensive rebound by W. Cauley-Stein,,2,5
1,9:23.0,I. Shumpert misses 2-pt jump shot from 21 ft (block by J. Richardson),,2,5
1,9:23.0,Offensive rebound by Team,,2,5
1,9:19.0,B. Hield misses 2-pt jump shot from 18 ft,,2,5
1,9:17.0,,Defensive rebound by K. Olynyk,2,5
1,9:10.0,,J. Richardson makes 2-pt layup from 1 ft (assist by R. McGruder),2,7
1,9:10.0,Sacramento full timeout,,2,7
1,8:55.0,I. Shumpert misses 3-pt jump shot from 25 ft,,2,7
1,8:53.0,,Defensive rebound by K. Olynyk,2,7
1,8:45.0,,J. Richardson makes 3-pt jump shot from 24 ft,2,10
1,8:30.0,Shooting foul by K. Olynyk (drawn by B. Hield),,2,10
1,8:30.0,B. Hield makes free throw 1 of 2,,3,10
1,8:30.0,B. Hield makes free throw 2 of 2,,4,10
1,8:07.0,,J. Richardson makes 2-pt jump shot from 21 ft (assist by R. McGruder),4,12
1,7:57.0,N. Bjelica misses 3-pt jump shot from 25 ft,,4,12
1,7:55.0,,Defensive rebound by H. Whiteside,4,12
1,7:49.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),4,14
1,7:32.0,D. Fox misses 2-pt layup from 3 ft (block by H. Whiteside),,4,14
1,7:32.0,Offensive rebound by Team,,4,14
1,7:23.0,B. Hield makes 2-pt jump shot from 12 ft (assist by W. Cauley-Stein),,6,14
1,7:09.0,,J. Richardson misses 2-pt layup from 3 ft (block by B. Hield),6,14
1,7:08.0,Defensive rebound by W. Cauley-Stein,,6,14
1,7:02.0,B. Hield makes 2-pt layup from 1 ft,,8,14
1,6:56.0,,G. Dragić misses 3-pt jump shot from 25 ft,8,14
1,6:55.0,,Offensive rebound by Team,8,14
1,6:41.0,,J. Richardson misses 2-pt jump shot from 17 ft,8,14
1,6:41.0,Defensive rebound by Team,,8,14
1,6:41.0,,Loose ball foul by K. Olynyk (drawn by B. Hield),8,14
1,6:41.0,,D. Wade enters the game for K. Olynyk,8,14
1,6:41.0,,J. Winslow enters the game for J. Richardson,8,14
1,6:27.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by H. Whiteside),,8,14
1,6:24.0,,Defensive rebound by H. Whiteside,8,14
1,6:20.0,,J. Winslow misses 3-pt jump shot from 25 ft,8,14
1,6:16.0,Defensive rebound by N. Bjelica,,8,14
1,6:10.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by D. Fox),,11,14
1,6:00.0,,J. Winslow makes 2-pt layup from 1 ft,11,16
1,6:00.0,J. Jackson enters the game for I. Shumpert,,11,16
1,5:52.0,J. Jackson makes 2-pt layup from 1 ft (assist by N. Bjelica),,13,16
1,5:30.0,,R. McGruder misses 3-pt jump shot from 24 ft,13,16
1,5:26.0,Defensive rebound by W. Cauley-Stein,,13,16
1,5:18.0,Turnover by D. Fox (bad pass; steal by H. Whiteside),,13,16
1,5:09.0,,Personal foul by D. Fox (drawn by H. Whiteside),13,16
1,5:09.0,M. Bagley enters the game for N. Bjelica,,13,16
1,5:01.0,,G. Dragić misses 2-pt layup from 2 ft (block by M. Bagley),13,16
1,4:59.0,Defensive rebound by B. Hield,,13,16
1,4:53.0,D. Fox misses 2-pt layup from 2 ft,,13,16
1,4:50.0,,Defensive rebound by H. Whiteside,13,16
1,4:46.0,,R. McGruder makes 2-pt layup from 2 ft (assist by G. Dragić),13,18
1,4:38.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,15,18
1,4:20.0,,D. Wade misses 3-pt jump shot from 23 ft,15,18
1,4:18.0,Defensive rebound by M. Bagley,,15,18
1,4:16.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),,17,18
1,4:16.0,,Miami full timeout,17,18
1,4:16.0,K. Koufos enters the game for W. Cauley-Stein,,17,18
1,4:00.0,,D. Wade misses 2-pt layup from 1 ft (block by J. Jackson),17,18
1,3:57.0,,Offensive rebound by D. Wade,17,18
1,3:57.0,,D. Wade misses 2-pt jump shot from 5 ft,17,18
1,3:57.0,,Offensive rebound by H. Whiteside,17,18
1,3:56.0,,H. Whiteside misses 2-pt jump shot from 2 ft,17,18
1,3:56.0,,Offensive rebound by J. Winslow,17,18
1,3:55.0,,J. Winslow makes 2-pt jump shot from 4 ft,17,20
1,3:55.0,,Shooting foul by M. Bagley (drawn by J. Winslow),17,20
1,3:55.0,,J. Winslow misses free throw 1 of 1,17,20
1,3:55.0,Defensive rebound by K. Koufos,,17,20
1,3:41.0,M. Bagley misses 2-pt jump shot from 12 ft,,17,20
1,3:40.0,Offensive rebound by Team,,17,20
1,3:40.0,,T. Johnson enters the game for R. McGruder,17,20
1,3:32.0,B. Hield misses 3-pt jump shot from 24 ft,,17,20
1,3:29.0,,Defensive rebound by H. Whiteside,17,20
1,3:21.0,,Personal foul by J. Jackson (drawn by H. Whiteside),17,20
1,3:21.0,F. Mason enters the game for D. Fox,,17,20
1,3:21.0,,Turnover by T. Johnson (offensive foul),17,20
1,3:21.0,,Offensive foul by T. Johnson (drawn by B. Hield),17,20
1,3:06.0,Turnover by B. Hield (lost ball; steal by T. Johnson),,17,20
1,3:00.0,,T. Johnson misses 3-pt jump shot from 23 ft,17,20
1,3:00.0,Defensive rebound by Team,,17,20
1,3:00.0,,J. Richardson enters the game for G. Dragić,17,20
1,2:42.0,J. Jackson misses 3-pt jump shot from 25 ft,,17,20
1,2:41.0,Offensive rebound by Team,,17,20
1,2:41.0,Y. Ferrell enters the game for B. Hield,,17,20
1,2:26.0,J. Jackson misses 2-pt jump shot from 16 ft,,17,20
1,2:24.0,,Defensive rebound by H. Whiteside,17,20
1,2:18.0,,Turnover by D. Wade (lost ball; steal by Y. Ferrell),17,20
1,2:05.0,Turnover by M. Bagley (bad pass; steal by T. Johnson),,17,20
1,1:55.0,,H. Whiteside misses 2-pt hook shot from 7 ft,17,20
1,1:51.0,Defensive rebound by M. Bagley,,17,20
1,1:46.0,Personal foul by J. Richardson (drawn by M. Bagley),,17,20
1,1:37.0,F. Mason misses 2-pt layup from 1 ft (block by H. Whiteside),,17,20
1,1:34.0,,Defensive rebound by H. Whiteside,17,20
1,1:27.0,,J. Richardson misses 3-pt jump shot from 24 ft,17,20
1,1:25.0,Defensive rebound by K. Koufos,,17,20
1,1:20.0,F. Mason misses 3-pt jump shot from 25 ft,,17,20
1,1:17.0,,Defensive rebound by J. Winslow,17,20
1,1:11.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by T. Johnson),17,23
1,0:50.0,Y. Ferrell misses 2-pt jump shot from 16 ft,,17,23
1,0:46.0,,Defensive rebound by H. Whiteside,17,23
1,0:34.0,,H. Whiteside makes 2-pt jump shot from 15 ft,17,25
1,0:12.0,F. Mason misses 2-pt jump shot from 21 ft,,17,25
1,0:10.0,,Defensive rebound by H. Whiteside,17,25
1,0:01.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by T. Johnson),17,28
2,11:42.0,,J. Winslow misses 2-pt jump shot from 5 ft (block by M. Bagley),17,28
2,11:41.0,,Offensive rebound by J. Richardson,17,28
2,11:40.0,,J. Richardson misses 3-pt jump shot from 27 ft,17,28
2,11:40.0,,Offensive rebound by Team,17,28
2,11:33.0,Loose ball foul by K. Koufos (drawn by B. Adebayo),,17,28
2,11:29.0,,Personal foul by F. Mason (drawn by T. Johnson),17,28
2,11:25.0,,T. Johnson misses 3-pt jump shot from 25 ft,17,28
2,11:24.0,Defensive rebound by J. Jackson,,17,28
2,11:09.0,Turnover by M. Bagley (lost ball; steal by B. Adebayo),,17,28
2,10:57.0,,Turnover by D. Wade (bad pass),17,28
2,10:39.0,F. Mason misses 3-pt jump shot from 26 ft,,17,28
2,10:34.0,Offensive rebound by M. Bagley,,17,28
2,10:34.0,M. Bagley makes 2-pt layup from 1 ft,,19,28
2,10:11.0,,B. Adebayo misses 2-pt jump shot from 10 ft,19,28
2,10:06.0,Defensive rebound by Y. Ferrell,,19,28
2,9:58.0,M. Bagley misses 2-pt hook shot from 5 ft,,19,28
2,9:54.0,Offensive rebound by K. Koufos,,19,28
2,9:54.0,K. Koufos makes 2-pt layup from 1 ft,,21,28
2,9:50.0,,Turnover by J. Winslow (bad pass),21,28
2,9:50.0,N. Bjelica enters the game for K. Koufos,,21,28
2,9:29.0,Y. Ferrell makes 2-pt layup from 1 ft,,23,28
2,9:21.0,,J. Winslow misses 2-pt hook shot from 5 ft,23,28
2,9:21.0,,Offensive rebound by Team,23,28
2,9:21.0,,Away from play foul by M. Bagley (drawn by B. Adebayo),23,28
2,9:21.0,,J. Richardson makes free throw 1 of 1,23,29
2,9:18.0,,J. Richardson makes 2-pt jump shot from 10 ft (assist by D. Wade),23,31
2,9:00.0,M. Bagley misses 2-pt jump shot from 22 ft,,23,31
2,9:00.0,Offensive rebound by Team,,23,31
2,8:51.0,Shooting foul by D. Wade (drawn by J. Jackson),,23,31
2,8:51.0,J. Jackson makes free throw 1 of 2,,24,31
2,8:51.0,J. Jackson makes free throw 2 of 2,,25,31
2,8:42.0,,J. Richardson misses 3-pt jump shot from 25 ft,25,31
2,8:40.0,,Offensive rebound by J. Winslow,25,31
2,8:38.0,,J. Winslow misses 2-pt layup from 3 ft (block by N. Bjelica),25,31
2,8:36.0,Defensive rebound by F. Mason,,25,31
2,8:33.0,Y. Ferrell makes 2-pt layup from 2 ft (assist by F. Mason),,27,31
2,8:19.0,,T. Johnson misses 2-pt jump shot from 10 ft,27,31
2,8:19.0,,Offensive rebound by B. Adebayo,27,31
2,8:19.0,,B. Adebayo misses 2-pt layup at rim,27,31
2,8:19.0,,Offensive rebound by Team,27,31
2,8:19.0,,R. McGruder enters the game for D. Wade,27,31
2,8:14.0,,J. Richardson makes 2-pt jump shot from 18 ft (assist by R. McGruder),27,33
2,8:00.0,N. Bjelica misses 3-pt jump shot from 25 ft,,27,33
2,7:57.0,,Defensive rebound by B. Adebayo,27,33
2,7:49.0,,B. Adebayo makes 2-pt dunk from 1 ft,27,35
2,7:38.0,F. Mason misses 2-pt layup from 2 ft,,27,35
2,7:36.0,,Defensive rebound by T. Johnson,27,35
2,7:30.0,,T. Johnson makes 2-pt layup from 1 ft,27,37
2,7:24.0,Sacramento full timeout,,27,37
2,7:24.0,W. Cauley-Stein enters the game for M. Bagley,,27,37
2,7:24.0,D. Fox enters the game for F. Mason,,27,37
2,7:24.0,,G. Dragić enters the game for J. Richardson,27,37
2,7:24.0,,K. Olynyk enters the game for J. Winslow,27,37
2,7:09.0,Turnover by D. Fox (traveling),,27,37
2,7:00.0,,G. Dragić makes 2-pt layup from 1 ft (assist by R. McGruder),27,39
2,6:42.0,N. Bjelica makes 2-pt hook shot from 5 ft,,29,39
2,6:25.0,,K. Olynyk misses 2-pt layup from 1 ft (block by N. Bjelica),29,39
2,6:22.0,Defensive rebound by N. Bjelica,,29,39
2,6:18.0,Y. Ferrell misses 2-pt layup from 1 ft,,29,39
2,6:17.0,Offensive rebound by N. Bjelica,,29,39
2,6:15.0,N. Bjelica makes 2-pt layup from 1 ft,,31,39
2,6:04.0,,K. Olynyk misses 3-pt jump shot from 24 ft,31,39
2,6:04.0,Defensive rebound by W. Cauley-Stein,,31,39
2,5:56.0,D. Fox makes 3-pt jump shot from 25 ft,,34,39
2,5:49.0,,Miami full timeout,34,39
2,5:49.0,B. Hield enters the game for Y. Ferrell,,34,39
2,5:49.0,I. Shumpert enters the game for J. Jackson,,34,39
2,5:49.0,,H. Whiteside enters the game for B. Adebayo,34,39
2,5:40.0,,R. McGruder misses 3-pt jump shot from 25 ft,34,39
2,5:36.0,Defensive rebound by W. Cauley-Stein,,34,39
2,5:22.0,Turnover by D. Fox (bad pass; steal by K. Olynyk),,34,39
2,5:14.0,,K. Olynyk misses 3-pt jump shot from 24 ft,34,39
2,5:13.0,Defensive rebound by B. Hield,,34,39
2,4:52.0,W. Cauley-Stein misses 2-pt hook shot from 5 ft,,34,39
2,4:49.0,,Defensive rebound by H. Whiteside,34,39
2,4:40.0,,Turnover by H. Whiteside (3 sec),34,39
2,4:40.0,,J. Richardson enters the game for T. Johnson,34,39
2,4:29.0,Shooting foul by G. Dragić (drawn by D. Fox),,34,39
2,4:29.0,D. Fox misses free throw 1 of 2,,34,39
2,4:29.0,Offensive rebound by Team,,34,39
2,4:29.0,D. Fox makes free throw 2 of 2,,35,39
2,4:07.0,,G. Dragić makes 2-pt layup from 1 ft,35,41
2,4:03.0,Personal foul by J. Richardson (drawn by W. Cauley-Stein),,35,41
2,3:47.0,I. Shumpert misses 3-pt jump shot from 23 ft,,35,41
2,3:44.0,,Defensive rebound by H. Whiteside,35,41
2,3:37.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by G. Dragić),35,44
2,3:21.0,N. Bjelica makes 2-pt jump shot from 4 ft,,37,44
2,3:06.0,,Turnover by H. Whiteside (traveling),37,44
2,2:55.0,D. Fox makes 2-pt layup from 2 ft,,39,44
2,2:43.0,,Turnover by K. Olynyk (bad pass; steal by B. Hield),39,44
2,2:37.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),,41,44
2,2:09.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by G. Dragić),41,47
2,1:53.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,44,47
2,1:46.0,,Shooting foul by N. Bjelica (drawn by H. Whiteside),44,47
2,1:46.0,,H. Whiteside misses free throw 1 of 2,44,47
2,1:46.0,,Offensive rebound by Team,44,47
2,1:46.0,,D. Wade enters the game for K. Olynyk,44,47
2,1:46.0,,J. Winslow enters the game for J. Richardson,44,47
2,1:46.0,,H. Whiteside makes free throw 2 of 2,44,48
2,1:33.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),,47,48
2,1:15.0,,D. Wade misses 3-pt jump shot from 25 ft,47,48
2,1:14.0,Defensive rebound by D. Fox,,47,48
2,1:09.0,D. Fox misses 3-pt jump shot from 26 ft,,47,48
2,1:05.0,Offensive rebound by W. Cauley-Stein,,47,48
2,1:02.0,W. Cauley-Stein makes 2-pt hook shot from 6 ft,,49,48
2,0:46.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Wade),49,51
2,0:35.0,D. Fox makes 2-pt jump shot from 10 ft,,51,51
2,0:13.0,,D. Wade misses 2-pt jump shot from 11 ft,51,51
2,0:09.0,Defensive rebound by W. Cauley-Stein,,51,51
2,0:01.0,B. Hield misses 2-pt jump shot from 14 ft,,51,51
2,0:01.0,,Defensive rebound by R. McGruder,51,51
3,11:41.0,,Personal foul by W. Cauley-Stein (drawn by K. Olynyk),51,51
3,11:39.0,,Turnover by G. Dragić (offensive foul),51,51
3,11:39.0,,Offensive foul by G. Dragić (drawn by I. Shumpert),51,51
3,11:21.0,Turnover by B. Hield (bad pass; steal by H. Whiteside),,51,51
3,11:16.0,,G. Dragić makes 2-pt jump shot from 22 ft,51,53
3,11:01.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by N. Bjelica),,53,53
3,10:50.0,,G. Dragić misses 3-pt jump shot from 26 ft,53,53
3,10:47.0,Defensive rebound by B. Hield,,53,53
3,10:42.0,Turnover by B. Hield (bad pass; steal by G. Dragić),,53,53
3,10:39.0,,Turnover by R. McGruder (bad pass; steal by N. Bjelica),53,53
3,10:33.0,I. Shumpert misses 2-pt layup from 1 ft,,53,53
3,10:30.0,Offensive rebound by N. Bjelica,,53,53
3,10:30.0,N. Bjelica misses 2-pt layup at rim,,53,53
3,10:29.0,Offensive rebound by W. Cauley-Stein,,53,53
3,10:28.0,W. Cauley-Stein misses 2-pt jump shot from 4 ft (block by H. Whiteside),,53,53
3,10:25.0,Offensive rebound by D. Fox,,53,53
3,10:22.0,B. Hield makes 3-pt jump shot from 24 ft (assist by N. Bjelica),,56,53
3,9:58.0,,J. Richardson misses 2-pt jump shot from 10 ft,56,53
3,9:55.0,,Offensive rebound by J. Richardson,56,53
3,9:52.0,,J. Richardson makes 2-pt jump shot from 7 ft,56,55
3,9:49.0,D. Fox makes 2-pt layup from 1 ft,,58,55
3,9:49.0,Shooting foul by R. McGruder (drawn by D. Fox),,58,55
3,9:49.0,D. Fox misses free throw 1 of 1,,58,55
3,9:49.0,,Defensive rebound by H. Whiteside,58,55
3,9:39.0,,J. Richardson misses 3-pt jump shot from 25 ft,58,55
3,9:37.0,Defensive rebound by B. Hield,,58,55
3,9:27.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,58,55
3,9:22.0,,Defensive rebound by J. Richardson,58,55
3,9:14.0,,Turnover by K. Olynyk (traveling),58,55
3,8:58.0,I. Shumpert makes 2-pt jump shot from 20 ft,,60,55
3,8:50.0,,Shooting foul by W. Cauley-Stein (drawn by G. Dragić),60,55
3,8:50.0,,G. Dragić makes free throw 1 of 2,60,56
3,8:50.0,,G. Dragić makes free throw 2 of 2,60,57
3,8:41.0,D. Fox makes 2-pt jump shot from 9 ft,,62,57
3,8:27.0,,K. Olynyk misses 3-pt jump shot from 24 ft,62,57
3,8:24.0,Defensive rebound by W. Cauley-Stein,,62,57
3,8:11.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),,64,57
3,7:59.0,,K. Olynyk misses 2-pt jump shot from 19 ft,64,57
3,7:57.0,,Offensive rebound by H. Whiteside,64,57
3,7:54.0,,H. Whiteside makes 2-pt hook shot from 6 ft,64,59
3,7:45.0,D. Fox misses 2-pt jump shot from 8 ft,,64,59
3,7:45.0,,Defensive rebound by H. Whiteside,64,59
3,7:45.0,,Turnover by H. Whiteside (bad pass),64,59
3,7:35.0,B. Hield makes 2-pt jump shot from 20 ft,,66,59
3,7:17.0,,K. Olynyk misses 3-pt jump shot from 26 ft,66,59
3,7:17.0,Defensive rebound by B. Hield,,66,59
3,7:12.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,68,59
3,7:12.0,,Miami full timeout,68,59
