QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,WASHINGTON_ACTION,OKLAHOMA CITY_SCORE,WASHINGTON_SCORE
1,11:46.0,P. George misses 2-pt jump shot from 15 ft,,0,0
1,11:44.0,,Defensive rebound by O. Porter,0,0
1,11:29.0,,D. Howard makes 2-pt dunk from 1 ft (assist by M. Morris),0,2
1,11:29.0,,Shooting foul by R. Westbrook (drawn by D. Howard),0,2
1,11:29.0,,D. Howard makes free throw 1 of 1,0,3
1,11:08.0,T. Ferguson makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,3,3
1,10:52.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),3,6
1,10:42.0,R. Westbrook misses 2-pt layup from 2 ft,,3,6
1,10:42.0,,Defensive rebound by Team,3,6
1,10:23.0,,O. Porter makes 2-pt hook shot from 4 ft (assist by B. Beal),3,8
1,10:07.0,R. Westbrook misses 2-pt jump shot from 19 ft,,3,8
1,10:04.0,,Defensive rebound by D. Howard,3,8
1,9:59.0,,B. Beal makes 3-pt jump shot from 31 ft (assist by J. Wall),3,11
1,9:42.0,P. George misses 2-pt jump shot from 18 ft,,3,11
1,9:39.0,,Defensive rebound by O. Porter,3,11
1,9:32.0,,D. Howard makes 2-pt hook shot from 6 ft (assist by O. Porter),3,13
1,9:24.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,5,13
1,9:13.0,,J. Wall makes 2-pt jump shot from 13 ft (assist by O. Porter),5,15
1,9:04.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,7,15
1,8:52.0,,O. Porter makes 2-pt jump shot from 20 ft (assist by J. Wall),7,17
1,8:42.0,Turnover by P. George (bad pass; steal by M. Morris),,7,17
1,8:39.0,,Turnover by O. Porter (lost ball; steal by J. Grant),7,17
1,8:34.0,S. Adams makes 2-pt dunk from 3 ft (assist by T. Ferguson),,9,17
1,8:19.0,,M. Morris misses 3-pt jump shot from 25 ft,9,17
1,8:15.0,Defensive rebound by R. Westbrook,,9,17
1,8:09.0,J. Grant makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,12,17
1,7:57.0,,M. Morris misses 2-pt layup from 2 ft (block by S. Adams),12,17
1,7:57.0,Defensive rebound by Team,,12,17
1,7:57.0,,Loose ball foul by D. Howard (drawn by S. Adams),12,17
1,7:57.0,Oklahoma City full timeout,,12,17
1,7:43.0,J. Grant makes 3-pt jump shot from 26 ft (assist by P. George),,15,17
1,7:25.0,,D. Howard makes 2-pt jump shot from 16 ft (assist by J. Wall),15,19
1,7:15.0,Turnover by R. Westbrook (bad pass),,15,19
1,7:06.0,,D. Howard makes 2-pt dunk from 1 ft (assist by J. Wall),15,21
1,6:48.0,T. Ferguson makes 3-pt jump shot from 26 ft (assist by P. George),,18,21
1,6:30.0,,O. Porter makes 2-pt layup from 1 ft (assist by D. Howard),18,23
1,6:22.0,S. Adams makes 2-pt dunk from 2 ft (assist by R. Westbrook),,20,23
1,6:06.0,,Turnover by B. Beal (bad pass; steal by R. Westbrook),20,23
1,6:01.0,R. Westbrook makes 2-pt layup from 2 ft,,22,23
1,5:48.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),22,26
1,5:29.0,J. Grant makes 2-pt dunk from 1 ft,,24,26
1,5:03.0,,Turnover by J. Wall (bad pass; steal by P. George),24,26
1,4:58.0,R. Westbrook misses 2-pt layup from 1 ft,,24,26
1,4:56.0,,Defensive rebound by O. Porter,24,26
1,4:45.0,,D. Howard makes 2-pt hook shot from 5 ft,24,28
1,4:25.0,Turnover by P. George (bad pass),,24,28
1,4:12.0,,J. Wall misses 3-pt jump shot from 27 ft,24,28
1,4:08.0,Defensive rebound by P. George,,24,28
1,4:04.0,R. Westbrook makes 2-pt jump shot from 15 ft (assist by P. George),,26,28
1,3:47.0,,Personal foul by T. Ferguson (drawn by D. Howard),26,28
1,3:43.0,,Turnover by B. Beal (lost ball; steal by P. George),26,28
1,3:36.0,Turnover by P. George (lost ball; steal by B. Beal),,26,28
1,3:31.0,,D. Howard makes 2-pt dunk at rim (assist by B. Beal),26,30
1,3:17.0,R. Westbrook makes 2-pt layup from 1 ft,,28,30
1,3:06.0,,O. Porter misses 3-pt jump shot from 23 ft,28,30
1,3:04.0,,Offensive rebound by D. Howard,28,30
1,3:02.0,,D. Howard misses 2-pt hook shot from 1 ft,28,30
1,3:02.0,Defensive rebound by S. Adams,,28,30
1,2:45.0,P. George misses 2-pt layup from 6 ft,,28,30
1,2:42.0,Offensive rebound by S. Adams,,28,30
1,2:42.0,S. Adams makes 2-pt layup at rim,,30,30
1,2:42.0,,Washington full timeout,30,30
1,2:42.0,Á. Abrines enters the game for T. Ferguson,,30,30
1,2:42.0,P. Patterson enters the game for J. Grant,,30,30
1,2:42.0,D. Schröder enters the game for R. Westbrook,,30,30
1,2:42.0,,J. Green enters the game for B. Beal,30,30
1,2:42.0,,I. Mahinmi enters the game for D. Howard,30,30
1,2:42.0,,K. Oubre enters the game for M. Morris,30,30
1,2:42.0,,A. Rivers enters the game for O. Porter,30,30
1,2:30.0,,Turnover by J. Wall (bad pass; steal by D. Schröder),30,30
1,2:14.0,S. Adams misses 2-pt dunk from 3 ft,,30,30
1,2:12.0,,Defensive rebound by K. Oubre,30,30
1,1:58.0,,J. Wall misses 2-pt jump shot from 12 ft,30,30
1,1:56.0,,Offensive rebound by I. Mahinmi,30,30
1,1:56.0,,Personal foul by P. Patterson (drawn by K. Oubre),30,30
1,1:56.0,N. Noel enters the game for S. Adams,,30,30
1,1:56.0,,T. Satoranský enters the game for J. Wall,30,30
1,1:46.0,,J. Green misses 2-pt jump shot from 7 ft,30,30
1,1:44.0,Defensive rebound by N. Noel,,30,30
1,1:31.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. George),,33,30
1,1:17.0,,Turnover by I. Mahinmi (lost ball; steal by N. Noel),33,30
1,1:12.0,Á. Abrines misses 3-pt jump shot from 26 ft,,33,30
1,1:08.0,,Defensive rebound by I. Mahinmi,33,30
1,0:59.0,,K. Oubre misses 3-pt jump shot from 26 ft,33,30
1,0:57.0,Defensive rebound by P. George,,33,30
1,0:47.0,D. Schröder misses 2-pt layup from 8 ft (block by T. Satoranský),,33,30
1,0:45.0,,Defensive rebound by A. Rivers,33,30
1,0:40.0,,K. Oubre misses 2-pt layup from 6 ft (block by Á. Abrines),33,30
1,0:38.0,Defensive rebound by P. George,,33,30
1,0:33.0,P. George misses 3-pt jump shot from 26 ft,,33,30
1,0:30.0,,Defensive rebound by A. Rivers,33,30
1,0:07.0,,Turnover by Team (shot clock),33,30
1,0:06.0,Personal foul by T. Satoranský (drawn by Á. Abrines),,33,30
1,0:02.0,N. Noel makes 2-pt jump shot from 20 ft (assist by P. George),,35,30
2,11:41.0,,I. Mahinmi misses 2-pt hook shot from 9 ft,35,30
2,11:39.0,Defensive rebound by N. Noel,,35,30
2,11:32.0,Personal foul by T. Satoranský (drawn by D. Schröder),,35,30
2,11:23.0,Shooting foul by I. Mahinmi (drawn by N. Noel),,35,30
2,11:23.0,N. Noel makes free throw 1 of 2,,36,30
2,11:23.0,N. Noel makes free throw 2 of 2,,37,30
2,11:07.0,,I. Mahinmi makes 2-pt hook shot from 2 ft (assist by T. Satoranský),37,32
2,10:56.0,P. Patterson misses 3-pt jump shot from 26 ft,,37,32
2,10:54.0,,Defensive rebound by K. Oubre,37,32
2,10:51.0,,Turnover by K. Oubre (lost ball; steal by H. Diallo),37,32
2,10:44.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by D. Schröder),,40,32
2,10:26.0,,Turnover by K. Oubre (traveling),40,32
2,10:20.0,Personal foul by J. Green (drawn by P. Patterson),,40,32
2,10:11.0,P. Patterson misses 2-pt jump shot from 12 ft (block by K. Oubre),,40,32
2,10:07.0,Offensive rebound by P. Patterson,,40,32
2,10:06.0,H. Diallo misses 2-pt layup from 2 ft,,40,32
2,10:04.0,Offensive rebound by P. Patterson,,40,32
2,10:04.0,P. Patterson misses 2-pt layup from 5 ft,,40,32
2,10:04.0,Offensive rebound by P. Patterson,,40,32
2,10:04.0,Shooting foul by I. Mahinmi (drawn by P. Patterson),,40,32
2,10:04.0,P. Patterson makes free throw 1 of 2,,41,32
2,10:04.0,P. Patterson makes free throw 2 of 2,,42,32
2,9:51.0,,A. Rivers misses 3-pt jump shot from 27 ft,42,32
2,9:47.0,Defensive rebound by N. Noel,,42,32
2,9:27.0,Á. Abrines makes 2-pt jump shot from 21 ft (assist by P. Patterson),,44,32
2,9:24.0,,Washington full timeout,44,32
2,9:24.0,,M. Morris enters the game for I. Mahinmi,44,32
2,9:24.0,,J. Wall enters the game for T. Satoranský,44,32
2,9:15.0,,K. Oubre makes 2-pt jump shot from 2 ft,44,34
2,9:15.0,,Shooting foul by N. Noel (drawn by K. Oubre),44,34
2,9:15.0,,K. Oubre makes free throw 1 of 1,44,35
2,9:07.0,,Violation by Team (kicked ball),44,35
2,8:51.0,Á. Abrines misses 3-pt jump shot from 31 ft (block by K. Oubre),,44,35
2,8:48.0,,Defensive rebound by J. Wall,44,35
2,8:47.0,,Turnover by J. Wall (offensive foul),44,35
2,8:47.0,,Offensive foul by J. Wall (drawn by D. Schröder),44,35
2,8:28.0,Turnover by D. Schröder (bad pass),,44,35
2,8:07.0,,J. Green misses 3-pt jump shot from 25 ft,44,35
2,8:05.0,Defensive rebound by P. Patterson,,44,35
2,7:58.0,P. Patterson misses 3-pt jump shot from 26 ft,,44,35
2,7:54.0,Offensive rebound by H. Diallo,,44,35
2,7:54.0,H. Diallo makes 2-pt layup from 3 ft,,46,35
2,7:36.0,,K. Oubre misses 2-pt jump shot from 15 ft,46,35
2,7:33.0,Defensive rebound by N. Noel,,46,35
2,7:27.0,Shooting foul by J. Green (drawn by N. Noel),,46,35
2,7:27.0,N. Noel misses free throw 1 of 2,,46,35
2,7:27.0,Offensive rebound by Team,,46,35
2,7:27.0,R. Westbrook enters the game for Á. Abrines,,46,35
2,7:27.0,,B. Beal enters the game for J. Green,46,35
2,7:27.0,,D. Howard enters the game for A. Rivers,46,35
2,7:27.0,N. Noel makes free throw 2 of 2,,47,35
2,7:13.0,,B. Beal makes 2-pt jump shot from 13 ft (assist by J. Wall),47,37
2,6:54.0,H. Diallo makes 2-pt jump shot from 3 ft (assist by R. Westbrook),,49,37
2,6:41.0,,Personal foul by N. Noel (drawn by D. Howard),49,37
2,6:41.0,S. Adams enters the game for N. Noel,,49,37
2,6:41.0,J. Grant enters the game for P. Patterson,,49,37
2,6:39.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),49,39
2,6:38.0,,Violation by Team (delay of game),49,39
2,6:25.0,R. Westbrook makes 2-pt layup from 1 ft,,51,39
2,6:12.0,,Turnover by J. Wall (bad pass),51,39
2,6:00.0,R. Westbrook makes 2-pt layup from 2 ft,,53,39
2,5:45.0,,B. Beal misses 3-pt jump shot from 23 ft,53,39
2,5:43.0,Defensive rebound by J. Grant,,53,39
2,5:27.0,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Westbrook),,55,39
2,5:26.0,,Washington full timeout,55,39
2,5:26.0,P. George enters the game for D. Schröder,,55,39
2,5:14.0,,Turnover by B. Beal (bad pass; steal by R. Westbrook),55,39
2,5:11.0,R. Westbrook makes 2-pt dunk from 2 ft,,57,39
2,4:59.0,,B. Beal misses 2-pt layup from 2 ft,57,39
2,4:59.0,,Offensive rebound by D. Howard,57,39
2,4:58.0,,Shooting foul by J. Grant (drawn by D. Howard),57,39
2,4:58.0,,D. Howard misses free throw 1 of 2,57,39
2,4:58.0,,Offensive rebound by Team,57,39
2,4:58.0,,D. Howard makes free throw 2 of 2,57,40
2,4:46.0,Personal foul by M. Morris (drawn by S. Adams),,57,40
2,4:46.0,S. Adams misses free throw 1 of 2,,57,40
2,4:46.0,Offensive rebound by Team,,57,40
2,4:46.0,Á. Abrines enters the game for H. Diallo,,57,40
2,4:46.0,S. Adams makes free throw 2 of 2,,58,40
2,4:41.0,,Personal foul by Á. Abrines (drawn by B. Beal),58,40
2,4:25.0,,Turnover by B. Beal (bad pass; steal by R. Westbrook),58,40
2,4:23.0,Shooting foul by K. Oubre (drawn by R. Westbrook),,58,40
2,4:23.0,R. Westbrook misses free throw 1 of 2,,58,40
2,4:23.0,Offensive rebound by Team,,58,40
2,4:23.0,R. Westbrook makes free throw 2 of 2,,59,40
2,4:14.0,,Turnover by J. Wall (bad pass; steal by J. Grant),59,40
2,4:10.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,61,40
2,3:55.0,,Shooting foul by S. Adams (drawn by D. Howard),61,40
2,3:55.0,,D. Howard makes free throw 1 of 2,61,41
2,3:55.0,,D. Howard makes free throw 2 of 2,61,42
2,3:30.0,S. Adams makes 2-pt hook shot from 10 ft (assist by P. George),,63,42
2,3:14.0,,D. Howard makes 2-pt hook shot from 7 ft,63,44
2,3:14.0,,Shooting foul by S. Adams (drawn by D. Howard),63,44
2,3:14.0,,D. Howard makes free throw 1 of 1,63,45
2,3:00.0,Á. Abrines misses 3-pt jump shot from 27 ft,,63,45
2,2:56.0,,Defensive rebound by M. Morris,63,45
2,2:49.0,,K. Oubre misses 2-pt layup from 5 ft (block by Á. Abrines),63,45
2,2:47.0,Defensive rebound by J. Grant,,63,45
2,2:46.0,R. Westbrook makes 2-pt layup from 1 ft (assist by J. Grant),,65,45
2,2:36.0,,K. Oubre makes 2-pt jump shot from 8 ft (assist by B. Beal),65,47
2,2:36.0,Violation by Team (def goaltending),,65,47
2,2:22.0,P. George makes 3-pt jump shot from 25 ft (assist by Á. Abrines),,68,47
2,2:05.0,,B. Beal makes 2-pt layup at rim,68,49
2,1:48.0,P. George makes 3-pt jump shot from 28 ft (assist by J. Grant),,71,49
2,1:33.0,,Def 3 sec tech foul by Team,71,49
2,1:33.0,,B. Beal makes technical free throw,71,50
2,1:25.0,,J. Wall misses 3-pt jump shot from 23 ft,71,50
2,1:22.0,Defensive rebound by J. Grant,,71,50
2,1:17.0,Shooting foul by D. Howard (drawn by S. Adams),,71,50
2,1:17.0,S. Adams makes free throw 1 of 2,,72,50
2,1:17.0,S. Adams makes free throw 2 of 2,,73,50
2,1:05.0,,Turnover by J. Wall (bad pass; steal by R. Westbrook),73,50
2,1:02.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,75,50
2,1:02.0,Shooting foul by B. Beal (drawn by J. Grant),,75,50
2,1:02.0,J. Grant makes free throw 1 of 1,,76,50
2,0:47.0,,M. Morris misses 2-pt hook shot from 10 ft,76,50
2,0:45.0,Defensive rebound by S. Adams,,76,50
2,0:38.0,P. George makes 3-pt jump shot from 27 ft (assist by J. Grant),,79,50
2,0:23.0,,K. Oubre misses 3-pt jump shot from 24 ft,79,50
2,0:20.0,Defensive rebound by P. George,,79,50
2,0:20.0,,J. Smith enters the game for D. Howard,79,50
2,0:01.0,Á. Abrines misses 3-pt jump shot from 28 ft,,79,50
2,0:01.0,,Defensive rebound by M. Morris,79,50
3,11:45.0,,J. Wall misses 3-pt jump shot from 26 ft,79,50
3,11:41.0,Defensive rebound by R. Westbrook,,79,50
3,11:33.0,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,82,50
3,11:27.0,,Shooting foul by T. Ferguson (drawn by B. Beal),82,50
3,11:27.0,,B. Beal makes free throw 1 of 2,82,51
3,11:27.0,,B. Beal makes free throw 2 of 2,82,52
3,11:11.0,P. George makes 2-pt jump shot from 17 ft (assist by S. Adams),,84,52
3,11:11.0,Shooting foul by O. Porter (drawn by P. George),,84,52
3,11:11.0,P. George makes free throw 1 of 1,,85,52
3,10:57.0,Violation by Team (kicked ball),,85,52
3,10:46.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),85,55
3,10:33.0,Turnover by T. Ferguson (offensive foul),,85,55
3,10:33.0,Offensive foul by T. Ferguson (drawn by B. Beal),,85,55
3,10:18.0,,Turnover by O. Porter (bad pass; steal by J. Grant),85,55
3,10:08.0,P. George misses 3-pt jump shot from 30 ft,,85,55
3,10:07.0,,Defensive rebound by Team,85,55
3,10:07.0,Loose ball foul by S. Adams (drawn by D. Howard),,85,55
3,9:54.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by M. Morris),85,58
3,9:33.0,R. Westbrook misses 2-pt jump shot from 16 ft,,85,58
3,9:29.0,,Defensive rebound by J. Wall,85,58
3,9:26.0,,Turnover by D. Howard (offensive foul),85,58
3,9:26.0,,Offensive foul by D. Howard (drawn by T. Ferguson),85,58
3,9:14.0,P. George makes 2-pt jump shot from 18 ft,,87,58
3,8:58.0,,M. Morris makes 2-pt jump shot from 10 ft,87,60
3,8:49.0,R. Westbrook makes 2-pt jump shot from 15 ft,,89,60
3,8:30.0,,Shooting foul by T. Ferguson (drawn by J. Wall),89,60
3,8:30.0,,J. Wall misses free throw 1 of 2,89,60
3,8:30.0,,Offensive rebound by Team,89,60
3,8:30.0,Oklahoma City full timeout,,89,60
3,8:30.0,D. Schröder enters the game for T. Ferguson,,89,60
3,8:30.0,,J. Wall makes free throw 2 of 2,89,61
3,8:19.0,Turnover by D. Schröder (bad pass; steal by D. Howard),,89,61
3,8:12.0,,O. Porter misses 3-pt jump shot from 26 ft,89,61
3,8:09.0,Defensive rebound by D. Schröder,,89,61
3,7:54.0,D. Schröder misses 3-pt jump shot from 25 ft,,89,61
3,7:52.0,,Defensive rebound by Team,89,61
3,7:30.0,,J. Wall misses 2-pt layup from 5 ft,89,61
3,7:30.0,,Offensive rebound by Team,89,61
3,7:26.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by J. Wall),89,63
3,7:03.0,D. Schröder makes 2-pt jump shot from 5 ft (assist by P. George),,91,63
3,6:51.0,,B. Beal makes 2-pt jump shot from 12 ft,91,65
3,6:29.0,Turnover by S. Adams (lost ball; steal by D. Howard),,91,65
3,6:29.0,,Personal foul by S. Adams (drawn by D. Howard),91,65
3,6:19.0,,Shooting foul by D. Schröder (drawn by D. Howard),91,65
3,6:19.0,,D. Howard makes free throw 1 of 2,91,66
3,6:19.0,,D. Howard misses free throw 2 of 2,91,66
3,6:13.0,Defensive rebound by R. Westbrook,,91,66
3,6:02.0,P. George misses 2-pt jump shot from 19 ft,,91,66
3,6:00.0,,Defensive rebound by B. Beal,91,66
3,5:45.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by M. Morris),91,69
3,5:44.0,Oklahoma City full timeout,,91,69
3,5:44.0,,K. Oubre enters the game for O. Porter,91,69
3,5:30.0,Shooting foul by D. Howard (drawn by R. Westbrook),,91,69
3,5:30.0,R. Westbrook makes free throw 1 of 2,,92,69
3,5:30.0,N. Noel enters the game for S. Adams,,92,69
3,5:30.0,,J. Green enters the game for D. Howard,92,69
3,5:30.0,R. Westbrook makes free throw 2 of 2,,93,69
3,5:19.0,,J. Wall makes 2-pt layup from 2 ft,93,71
3,5:04.0,R. Westbrook makes 2-pt jump shot from 15 ft,,95,71
3,4:43.0,,B. Beal makes 2-pt layup from 2 ft,95,73
3,4:35.0,N. Noel makes 2-pt layup from 1 ft (assist by R. Westbrook),,97,73
3,4:20.0,,B. Beal misses 2-pt jump shot from 14 ft,97,73
3,4:17.0,Defensive rebound by D. Schröder,,97,73
3,4:07.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,100,73
3,3:41.0,,M. Morris misses 3-pt jump shot from 24 ft,100,73
3,3:37.0,,Offensive rebound by Team,100,73
3,3:30.0,,B. Beal makes 2-pt jump shot from 22 ft,100,75
3,3:20.0,R. Westbrook misses 2-pt jump shot from 18 ft,,100,75
3,3:16.0,,Defensive rebound by B. Beal,100,75
3,3:14.0,,J. Wall makes 2-pt dunk from 2 ft,100,77
3,3:02.0,R. Westbrook makes 2-pt jump shot from 18 ft,,102,77
3,2:53.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by M. Morris),102,80
3,2:45.0,R. Westbrook misses 3-pt jump shot from 25 ft,,102,80
3,2:45.0,,Defensive rebound by Team,102,80
3,2:45.0,Á. Abrines enters the game for R. Westbrook,,102,80
3,2:30.0,,J. Green misses 2-pt jump shot from 13 ft,102,80
3,2:28.0,Defensive rebound by N. Noel,,102,80
3,2:15.0,Turnover by J. Grant (traveling),,102,80
3,2:02.0,,Shooting foul by Á. Abrines (drawn by K. Oubre),102,80
3,2:02.0,,K. Oubre misses free throw 1 of 2,102,80
3,2:02.0,,Offensive rebound by Team,102,80
3,2:02.0,,A. Rivers enters the game for M. Morris,102,80
3,2:02.0,,K. Oubre makes free throw 2 of 2,102,81
3,1:53.0,Personal foul by K. Oubre (drawn by P. George),,102,81
3,1:53.0,P. Patterson enters the game for J. Grant,,102,81
3,1:42.0,D. Schröder makes 2-pt jump shot from 18 ft,,104,81
3,1:25.0,,Personal foul by Á. Abrines (drawn by J. Green),104,81
3,1:25.0,,J. Green makes free throw 1 of 2,104,82
3,1:25.0,,J. Green makes free throw 2 of 2,104,83
3,1:17.0,Turnover by D. Schröder (bad pass; steal by J. Wall),,104,83
3,1:09.0,,J. Wall makes 2-pt layup from 3 ft,104,85
3,0:47.0,D. Schröder misses 2-pt jump shot from 15 ft,,104,85
3,0:45.0,Offensive rebound by N. Noel,,104,85
3,0:45.0,Shooting foul by B. Beal (drawn by N. Noel),,104,85
3,0:45.0,N. Noel makes free throw 1 of 2,,105,85
3,0:45.0,N. Noel makes free throw 2 of 2,,106,85
3,0:36.0,,Turnover by J. Wall (out of bounds lost ball),106,85
3,0:36.0,J. Grant enters the game for N. Noel,,106,85
3,0:32.0,D. Schröder makes 2-pt layup from 3 ft,,108,85
3,0:11.0,,B. Beal misses 2-pt jump shot from 4 ft,108,85
3,0:09.0,Defensive rebound by J. Grant,,108,85
3,0:02.0,Shooting foul by J. Green (drawn by D. Schröder),,108,85
3,0:02.0,D. Schröder makes free throw 1 of 2,,109,85
3,0:02.0,D. Schröder makes free throw 2 of 2,,110,85
3,0:00.0,,B. Beal misses 3-pt jump shot from 50 ft,110,85
3,0:00.0,,Offensive rebound by Team,110,85
4,11:49.0,J. Grant makes 2-pt dunk from 1 ft (assist by D. Schröder),,112,85
4,11:36.0,,Turnover by B. Beal (lost ball; steal by D. Schröder),112,85
4,11:32.0,Shooting foul by J. Wall (drawn by J. Grant),,112,85
4,11:32.0,J. Grant misses free throw 1 of 2,,112,85
4,11:32.0,Offensive rebound by Team,,112,85
4,11:32.0,J. Grant makes free throw 2 of 2,,113,85
4,11:13.0,,A. Rivers misses 2-pt jump shot from 11 ft,113,85
4,11:09.0,Defensive rebound by Á. Abrines,,113,85
4,11:06.0,J. Grant misses 2-pt layup from 1 ft,,113,85
4,11:02.0,,Defensive rebound by A. Rivers,113,85
4,10:57.0,,B. Beal misses 3-pt jump shot from 27 ft,113,85
4,10:53.0,Defensive rebound by P. Patterson,,113,85
