QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
1,11:39.0,,D. Mitchell makes 2-pt jump shot from 9 ft,0,2
1,11:21.0,D. Lillard misses 3-pt jump shot from 25 ft,,0,2
1,11:13.0,,Defensive rebound by D. Favors,0,2
1,11:12.0,,D. Mitchell makes 2-pt jump shot from 9 ft,0,4
1,10:47.0,C. McCollum misses 2-pt jump shot from 12 ft,,0,4
1,10:44.0,,Defensive rebound by R. Gobert,0,4
1,10:38.0,,Turnover by R. Gobert (lost ball; steal by J. Nurkić),0,4
1,10:33.0,Shooting foul by D. Favors (drawn by A. Aminu),,0,4
1,10:33.0,A. Aminu makes free throw 1 of 2,,1,4
1,10:33.0,A. Aminu makes free throw 2 of 2,,2,4
1,10:23.0,,J. Ingles misses 3-pt jump shot from 24 ft,2,4
1,10:20.0,,Offensive rebound by D. Favors,2,4
1,10:20.0,,Shooting foul by J. Nurkić (drawn by D. Favors),2,4
1,10:20.0,,D. Favors misses free throw 1 of 2,2,4
1,10:20.0,,Offensive rebound by Team,2,4
1,10:20.0,,D. Favors makes free throw 2 of 2,2,5
1,10:11.0,Shooting foul by J. Ingles (drawn by M. Harkless),,2,5
1,10:11.0,M. Harkless misses free throw 1 of 2,,2,5
1,10:11.0,Offensive rebound by Team,,2,5
1,10:11.0,M. Harkless makes free throw 2 of 2,,3,5
1,9:59.0,,D. Mitchell misses 2-pt jump shot from 17 ft,3,5
1,9:57.0,Defensive rebound by C. McCollum,,3,5
1,9:47.0,Turnover by C. McCollum (lost ball; steal by R. Rubio),,3,5
1,9:45.0,,Shooting foul by C. McCollum (drawn by R. Gobert),3,5
1,9:45.0,,R. Gobert misses free throw 1 of 2,3,5
1,9:45.0,,Offensive rebound by Team,3,5
1,9:45.0,,R. Gobert misses free throw 2 of 2,3,5
1,9:43.0,Defensive rebound by J. Nurkić,,3,5
1,9:26.0,D. Lillard makes 2-pt jump shot from 12 ft,,5,5
1,9:14.0,,Shooting foul by D. Lillard (drawn by D. Mitchell),5,5
1,9:14.0,,D. Mitchell misses free throw 1 of 2,5,5
1,9:14.0,,Offensive rebound by Team,5,5
1,9:14.0,,D. Mitchell makes free throw 2 of 2,5,6
1,9:02.0,M. Harkless makes 2-pt dunk from 2 ft (assist by D. Lillard),,7,6
1,8:48.0,,D. Mitchell misses 2-pt jump shot from 18 ft (block by C. McCollum),7,6
1,8:45.0,Defensive rebound by J. Nurkić,,7,6
1,8:39.0,J. Nurkić misses 2-pt jump shot from 8 ft,,7,6
1,8:38.0,,Defensive rebound by R. Gobert,7,6
1,8:18.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Rubio),7,8
1,8:06.0,C. McCollum misses 2-pt jump shot from 21 ft,,7,8
1,8:03.0,,Defensive rebound by D. Favors,7,8
1,7:55.0,,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),7,10
1,7:33.0,A. Aminu misses 2-pt jump shot from 7 ft,,7,10
1,7:31.0,,Defensive rebound by J. Ingles,7,10
1,7:25.0,,D. Favors misses 3-pt jump shot from 22 ft,7,10
1,7:19.0,Defensive rebound by C. McCollum,,7,10
1,7:18.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,10
1,7:16.0,,Defensive rebound by D. Favors,7,10
1,7:11.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),7,12
