QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
1,11:47.0,,Turnover by K. Towns (bad pass; steal by P. Tucker),0,0
1,11:45.0,P. Tucker makes 2-pt layup from 1 ft,,2,0
1,11:23.0,,D. Šarić makes 2-pt layup from 3 ft (assist by K. Towns),2,2
1,11:23.0,,Shooting foul by P. Tucker (drawn by D. Šarić),2,2
1,11:23.0,,D. Šarić makes free throw 1 of 1,2,3
1,11:08.0,E. Gordon makes 2-pt layup from 2 ft,,4,3
1,10:49.0,,J. Okogie misses 3-pt jump shot from 24 ft (block by E. Gordon),4,3
1,10:45.0,Defensive rebound by P. Tucker,,4,3
1,10:40.0,J. Harden makes 3-pt jump shot from 25 ft (assist by E. Gordon),,7,3
1,10:21.0,,L. Deng misses 3-pt jump shot from 25 ft,7,3
1,10:17.0,Defensive rebound by C. Paul,,7,3
1,10:03.0,C. Paul misses 2-pt jump shot from 14 ft,,7,3
1,10:00.0,,Defensive rebound by J. Teague,7,3
1,9:51.0,,L. Deng makes 2-pt layup from 2 ft (assist by K. Towns),7,5
1,9:35.0,Turnover by J. Harden (lost ball; steal by J. Okogie),,7,5
1,9:32.0,,J. Okogie misses 2-pt layup from 1 ft,7,5
1,9:29.0,,Offensive rebound by J. Okogie,7,5
1,9:26.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Okogie),7,8
1,9:12.0,E. Gordon misses 2-pt layup from 2 ft,,7,8
1,9:08.0,,Defensive rebound by D. Šarić,7,8
1,9:00.0,,D. Šarić makes 2-pt layup from 2 ft (assist by J. Teague),7,10
1,8:48.0,C. Paul makes 2-pt layup from 1 ft,,9,10
1,8:37.0,,J. Teague misses 2-pt layup from 2 ft,9,10
1,8:34.0,Defensive rebound by K. Faried,,9,10
1,8:32.0,Shooting foul by L. Deng (drawn by J. Harden),,9,10
1,8:32.0,J. Harden makes free throw 1 of 2,,10,10
1,8:32.0,J. Harden makes free throw 2 of 2,,11,10
1,8:26.0,,Personal foul by K. Faried (drawn by K. Towns),11,10
1,8:18.0,,K. Towns misses 2-pt jump shot from 15 ft,11,10
1,8:15.0,,Offensive rebound by L. Deng,11,10
1,8:14.0,,D. Šarić makes 2-pt layup from 1 ft (assist by L. Deng),11,12
1,8:04.0,P. Tucker misses 3-pt jump shot from 25 ft,,11,12
1,8:02.0,Offensive rebound by K. Faried,,11,12
1,7:58.0,E. Gordon misses 3-pt jump shot from 25 ft,,11,12
1,7:54.0,,Defensive rebound by K. Towns,11,12
1,7:38.0,,Turnover by J. Okogie (bad pass),11,12
1,7:31.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,14,12
1,7:15.0,,L. Deng misses 3-pt jump shot from 23 ft,14,12
1,7:12.0,Defensive rebound by K. Faried,,14,12
1,7:04.0,Turnover by J. Harden (step out of bounds),,14,12
1,6:55.0,,J. Teague makes 2-pt layup from 2 ft,14,14
1,6:40.0,E. Gordon misses 3-pt jump shot from 25 ft,,14,14
1,6:37.0,,Defensive rebound by L. Deng,14,14
1,6:29.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),14,16
1,6:18.0,C. Paul misses 3-pt jump shot from 25 ft,,14,16
1,6:17.0,,Defensive rebound by K. Towns,14,16
1,6:07.0,,J. Teague makes 2-pt jump shot from 10 ft,14,18
1,6:05.0,Houston full timeout,,14,18
1,6:05.0,G. Green enters the game for K. Faried,,14,18
1,6:05.0,N. Hilário enters the game for E. Gordon,,14,18
1,6:05.0,I. Shumpert enters the game for C. Paul,,14,18
1,5:44.0,J. Harden misses 3-pt jump shot from 25 ft,,14,18
1,5:41.0,,Defensive rebound by D. Šarić,14,18
1,5:23.0,,Turnover by L. Deng (bad pass),14,18
1,5:06.0,J. Harden misses 3-pt jump shot from 24 ft,,14,18
1,5:01.0,Offensive rebound by P. Tucker,,14,18
1,5:01.0,,T. Gibson enters the game for D. Šarić,14,18
