QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
1,11:45.0,,Turnover by B. Ingram (lost ball; steal by K. Bazemore),0,0
1,11:39.0,T. Prince misses 3-pt jump shot from 28 ft,,0,0
1,11:34.0,,Defensive rebound by J. McGee,0,0
1,11:30.0,,B. Ingram misses 2-pt jump shot from 12 ft,0,0
1,11:25.0,Defensive rebound by K. Bazemore,,0,0
1,11:22.0,T. Prince makes 3-pt jump shot from 27 ft (assist by K. Bazemore),,3,0
1,11:08.0,,L. Ball misses 2-pt jump shot from 11 ft,3,0
1,11:05.0,Defensive rebound by A. Len,,3,0
1,11:02.0,K. Bazemore makes 2-pt jump shot from 18 ft,,5,0
1,10:49.0,,L. James misses 3-pt jump shot from 26 ft,5,0
1,10:46.0,Defensive rebound by O. Spellman,,5,0
1,10:43.0,Shooting foul by K. Kuzma (drawn by K. Bazemore),,5,0
1,10:43.0,K. Bazemore makes free throw 1 of 2,,6,0
1,10:43.0,K. Bazemore makes free throw 2 of 2,,7,0
1,10:30.0,,Turnover by B. Ingram (lost ball; steal by T. Young),7,0
1,10:30.0,Personal foul by B. Ingram (drawn by T. Young),,7,0
1,10:18.0,T. Young makes 2-pt jump shot from 6 ft,,9,0
1,9:53.0,,K. Kuzma makes 2-pt hook shot from 3 ft (assist by L. Ball),9,2
1,9:43.0,A. Len misses 2-pt layup from 3 ft,,9,2
1,9:43.0,,Defensive rebound by K. Kuzma,9,2
1,9:31.0,,L. James misses 2-pt layup from 1 ft,9,2
1,9:29.0,Defensive rebound by T. Prince,,9,2
1,9:26.0,A. Len misses 2-pt layup from 3 ft (block by B. Ingram),,9,2
1,9:23.0,Offensive rebound by O. Spellman,,9,2
1,9:10.0,Turnover by T. Prince (lost ball; steal by L. James),,9,2
1,9:08.0,,Flagrant foul type 1 by T. Prince (drawn by L. James),9,2
1,9:08.0,,L. James makes flagrant free throw 1 of 2,9,3
1,9:08.0,,L. James misses flagrant free throw 2 of 2,9,3
1,9:08.0,,Offensive rebound by Team,9,3
1,9:03.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),9,5
1,8:52.0,Offensive foul by A. Len (drawn by L. Ball),,9,5
1,8:52.0,Turnover by A. Len (offensive foul),,9,5
1,8:41.0,,L. James makes 3-pt jump shot from 26 ft (assist by L. Ball),9,8
1,8:25.0,T. Young misses 2-pt layup from 2 ft (block by J. McGee),,9,8
1,8:25.0,Offensive rebound by Team,,9,8
1,8:22.0,A. Len makes 2-pt dunk from 2 ft (assist by T. Young),,11,8
1,8:13.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),11,10
1,7:51.0,O. Spellman misses 2-pt layup from 2 ft,,11,10
1,7:49.0,,Defensive rebound by B. Ingram,11,10
1,7:43.0,,Turnover by L. James (bad pass; steal by A. Len),11,10
1,7:32.0,T. Young misses 3-pt jump shot from 27 ft,,11,10
1,7:32.0,,Defensive rebound by Team,11,10
1,7:19.0,,K. Kuzma misses 3-pt jump shot from 27 ft,11,10
1,7:17.0,Defensive rebound by O. Spellman,,11,10
1,7:10.0,A. Len misses 2-pt dunk from 1 ft (block by J. McGee),,11,10
1,7:09.0,,Defensive rebound by Team,11,10
1,7:09.0,K. Huerter enters the game for K. Bazemore,,11,10
1,7:09.0,J. Lin enters the game for T. Prince,,11,10
1,6:58.0,,Offensive foul by B. Ingram (drawn by J. Lin),11,10
1,6:58.0,,Turnover by B. Ingram (offensive foul),11,10
1,6:58.0,,LA Lakers full timeout,11,10
1,6:58.0,M. Plumlee enters the game for A. Len,,11,10
1,6:58.0,,J. Hart enters the game for B. Ingram,11,10
1,6:42.0,K. Huerter misses 2-pt jump shot from 8 ft,,11,10
1,6:40.0,,Defensive rebound by K. Kuzma,11,10
1,6:37.0,,Turnover by K. Kuzma (lost ball; steal by M. Plumlee),11,10
1,6:30.0,K. Huerter misses 3-pt jump shot from 26 ft,,11,10
1,6:27.0,,Defensive rebound by L. Ball,11,10
1,6:08.0,,K. Kuzma misses 2-pt layup from 2 ft,11,10
1,6:06.0,,Offensive rebound by K. Kuzma,11,10
1,6:04.0,,J. Hart makes 3-pt jump shot from 27 ft (assist by J. McGee),11,13
1,5:35.0,Turnover by Team (shot clock),,11,13
1,5:35.0,V. Carter enters the game for O. Spellman,,11,13
1,5:35.0,,L. Stephenson enters the game for K. Kuzma,11,13
1,5:13.0,,L. James misses 2-pt jump shot from 18 ft,11,13
1,5:10.0,Defensive rebound by V. Carter,,11,13
1,5:04.0,V. Carter misses 3-pt jump shot from 28 ft,,11,13
1,5:01.0,,Defensive rebound by Team,11,13
1,5:01.0,T. Prince enters the game for T. Young,,11,13
1,5:01.0,,T. Chandler enters the game for J. McGee,11,13
1,4:45.0,,Shooting foul by M. Plumlee (drawn by L. James),11,13
1,4:45.0,,L. James makes free throw 1 of 2,11,14
1,4:45.0,,L. James misses free throw 2 of 2,11,14
1,4:43.0,Defensive rebound by M. Plumlee,,11,14
1,4:34.0,J. Lin misses 2-pt jump shot from 14 ft,,11,14
1,4:29.0,,Defensive rebound by J. Hart,11,14
1,4:25.0,,Turnover by L. Ball (bad pass),11,14
1,4:15.0,M. Plumlee makes 2-pt layup from 4 ft (assist by J. Lin),,13,14
