QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
1,11:41.0,,N. Powell misses 3-pt jump shot from 26 ft,0,0
1,11:37.0,Defensive rebound by T. Bryant,,0,0
1,11:24.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
1,11:21.0,,Defensive rebound by P. Siakam,0,0
1,11:16.0,,P. Siakam misses 2-pt jump shot from 5 ft,0,0
1,11:12.0,Defensive rebound by J. Green,,0,0
1,11:06.0,Turnover by J. Green (bad pass; steal by K. Lowry),,0,0
1,11:02.0,,P. Siakam makes 2-pt dunk at rim (assist by K. Lowry),0,2
1,10:47.0,J. Green misses 2-pt jump shot from 15 ft,,0,2
1,10:43.0,,Defensive rebound by D. Green,0,2
1,10:36.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),0,4
1,10:22.0,T. Bryant misses 2-pt layup from 4 ft (block by S. Ibaka),,0,4
1,10:20.0,,Defensive rebound by K. Lowry,0,4
1,10:17.0,,P. Siakam misses 2-pt layup from 1 ft,0,4
1,10:17.0,Defensive rebound by Team,,0,4
1,10:04.0,T. Bryant misses 2-pt jump shot from 17 ft,,0,4
1,10:01.0,,Defensive rebound by D. Green,0,4
1,9:49.0,,N. Powell misses 3-pt jump shot from 26 ft,0,4
1,9:43.0,Defensive rebound by C. Randle,,0,4
1,9:41.0,Turnover by B. Beal (bad pass),,0,4
1,9:38.0,,Personal foul by T. Ariza (drawn by D. Green),0,4
1,9:22.0,,N. Powell misses 3-pt jump shot from 23 ft,0,4
1,9:18.0,Defensive rebound by T. Ariza,,0,4
1,9:10.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,4
1,9:05.0,,Defensive rebound by S. Ibaka,0,4
1,8:59.0,,P. Siakam makes 2-pt hook shot from 3 ft (assist by K. Lowry),0,6
1,8:59.0,Washington full timeout,,0,6
1,8:46.0,Personal foul by N. Powell (drawn by C. Randle),,0,6
1,8:39.0,C. Randle misses 3-pt jump shot from 26 ft,,0,6
1,8:37.0,,Defensive rebound by K. Lowry,0,6
1,8:35.0,,Shooting foul by C. Randle (drawn by D. Green),0,6
1,8:35.0,,D. Green makes free throw 1 of 2,0,7
1,8:35.0,,D. Green makes free throw 2 of 2,0,8
1,8:31.0,Shooting foul by S. Ibaka (drawn by J. Green),,0,8
1,8:31.0,J. Green makes free throw 1 of 2,,1,8
1,8:31.0,J. Green makes free throw 2 of 2,,2,8
1,8:10.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by S. Ibaka),2,11
1,7:52.0,Turnover by C. Randle (bad pass; steal by K. Lowry),,2,11
1,7:48.0,,Shooting foul by C. Randle (drawn by S. Ibaka),2,11
1,7:48.0,,S. Ibaka misses free throw 1 of 2,2,11
1,7:48.0,,Offensive rebound by Team,2,11
1,7:48.0,W. Johnson enters the game for J. Green,,2,11
1,7:48.0,J. Parker enters the game for C. Randle,,2,11
1,7:48.0,,S. Ibaka makes free throw 2 of 2,2,12
1,7:39.0,B. Beal makes 2-pt jump shot from 19 ft,,4,12
1,7:22.0,,D. Green misses 3-pt jump shot from 25 ft,4,12
1,7:19.0,Defensive rebound by J. Parker,,4,12
1,7:13.0,T. Bryant misses 2-pt jump shot from 1 ft (block by S. Ibaka),,4,12
1,7:09.0,Offensive rebound by B. Beal,,4,12
1,7:03.0,B. Beal makes 2-pt hook shot from 3 ft,,6,12
1,6:56.0,,Shooting foul by T. Bryant (drawn by N. Powell),6,12
1,6:56.0,,N. Powell makes free throw 1 of 2,6,13
1,6:56.0,,N. Powell makes free throw 2 of 2,6,14
1,6:45.0,T. Bryant makes 2-pt dunk at rim (assist by T. Ariza),,8,14
1,6:18.0,,S. Ibaka misses 2-pt hook shot from 5 ft,8,14
1,6:15.0,Defensive rebound by B. Beal,,8,14
1,6:11.0,B. Beal makes 2-pt jump shot from 17 ft,,10,14
1,5:59.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),10,16
1,5:45.0,T. Ariza makes 2-pt layup at rim (assist by B. Beal),,12,16
1,5:30.0,,P. Siakam misses 2-pt jump shot from 8 ft,12,16
1,5:27.0,Defensive rebound by J. Parker,,12,16
1,5:10.0,J. Parker makes 2-pt jump shot from 16 ft (assist by T. Ariza),,14,16
1,4:52.0,,Personal foul by B. Beal (drawn by P. Siakam),14,16
1,4:52.0,,P. Siakam makes free throw 1 of 2,14,17
1,4:52.0,B. Portis enters the game for T. Bryant,,14,17
1,4:52.0,,O. Anunoby enters the game for D. Green,14,17
1,4:52.0,,M. Gasol enters the game for S. Ibaka,14,17
1,4:52.0,,P. Siakam makes free throw 2 of 2,14,18
1,4:32.0,B. Portis misses 2-pt hook shot from 7 ft,,14,18
1,4:30.0,,Defensive rebound by M. Gasol,14,18
1,4:25.0,,O. Anunoby makes 2-pt layup from 2 ft,14,20
1,4:19.0,Shooting foul by M. Gasol (drawn by J. Parker),,14,20
1,4:19.0,J. Parker makes free throw 1 of 2,,15,20
1,4:19.0,J. Parker makes free throw 2 of 2,,16,20
1,4:05.0,,Shooting foul by B. Portis (drawn by M. Gasol),16,20
1,4:05.0,,M. Gasol makes free throw 1 of 2,16,21
1,4:05.0,,J. Lin enters the game for N. Powell,16,21
1,4:05.0,,M. Gasol misses free throw 2 of 2,16,21
1,4:02.0,Defensive rebound by T. Ariza,,16,21
1,3:50.0,T. Ariza misses 3-pt jump shot from 23 ft,,16,21
1,3:45.0,Offensive rebound by W. Johnson,,16,21
1,3:44.0,Turnover by W. Johnson (bad pass; steal by J. Lin),,16,21
1,3:41.0,,Turnover by J. Lin (bad pass; steal by B. Portis),16,21
1,3:37.0,W. Johnson misses 3-pt jump shot from 24 ft,,16,21
1,3:33.0,,Defensive rebound by O. Anunoby,16,21
1,3:21.0,,P. Siakam makes 2-pt jump shot from 4 ft,16,23
1,3:21.0,J. Green enters the game for T. Ariza,,16,23
1,3:00.0,J. Green makes 2-pt dunk from 1 ft (assist by B. Beal),,18,23
1,2:41.0,,Personal foul by W. Johnson (drawn by M. Gasol),18,23
1,2:41.0,,Toronto full timeout,18,23
1,2:41.0,,D. Green enters the game for K. Lowry,18,23
1,2:41.0,,N. Powell enters the game for P. Siakam,18,23
1,2:41.0,,M. Gasol makes free throw 1 of 2,18,24
1,2:41.0,,M. Gasol makes free throw 2 of 2,18,25
1,2:24.0,J. Parker misses 2-pt jump shot from 20 ft,,18,25
1,2:21.0,,Defensive rebound by J. Lin,18,25
1,2:04.0,,N. Powell misses 2-pt layup from 2 ft,18,25
1,2:04.0,Defensive rebound by B. Portis,,18,25
1,1:53.0,B. Beal makes 2-pt jump shot from 15 ft (assist by J. Green),,20,25
1,1:32.0,,O. Anunoby misses 3-pt jump shot from 24 ft,20,25
1,1:29.0,Defensive rebound by B. Portis,,20,25
