B. Biyombo,M. Williams,J. Lamb,K. Walker,N. Batum,14
W. Hernangómez,M. Kidd-Gilchrist,J. Lamb,K. Walker,N. Batum,2
W. Hernangómez,M. Kidd-Gilchrist,M. Bridges,K. Walker,N. Batum,0
W. Hernangómez,M. Kidd-Gilchrist,M. Bridges,K. Walker,N. Batum,4
W. Hernangómez,M. Kidd-Gilchrist,M. Bridges,D. Graham,N. Batum,0
M. Kidd-Gilchrist,M. Bridges,D. Graham,M. Monk,M. Williams,18
K. Walker,M. Bridges,D. Graham,M. Monk,M. Williams,5
K. Walker,N. Batum,J. Lamb,M. Monk,M. Williams,7
K. Walker,N. Batum,J. Lamb,M. Monk,M. Williams,0
J. Lamb,B. Biyombo,N. Batum,K. Walker,M. Williams,21
M. Monk,B. Biyombo,N. Batum,K. Walker,M. Williams,1
M. Monk,M. Kidd-Gilchrist,N. Batum,K. Walker,M. Williams,0
M. Monk,M. Kidd-Gilchrist,M. Bridges,D. Graham,W. Hernangómez,0
M. Bridges,D. Graham,M. Kidd-Gilchrist,J. Lamb,D. Bacon,8
F. Kaminsky,D. Graham,M. Kidd-Gilchrist,J. Lamb,D. Bacon,0
F. Kaminsky,M. Bridges,J. Chealey,M. Monk,D. Bacon,0
F. Kaminsky,M. Bridges,J. Chealey,M. Monk,D. Bacon,7
F. Kaminsky,D. Graham,J. Chealey,M. Monk,D. Bacon,7
